label,text,predicted_label,probability
ENTY:color, What colour is the sun? (In color pink) : green String of phrases describing people who are naked ?,ENTY:color,0.0448
ENTY:color," What color are the colors of ""Mountain Dew"" ?",ENTY:color,0.0378
ENTY:color," What colour is ""Cherry"" ? (RED, White) | SE The color of a cherry bloss : white
 THE SUN IS moon , the constellation SUSEPEUR .",ENTY:color,0.0359
ENTY:color, What color are you most allergic to? PEPPERIDIN : brown.,ENTY:color,0.0341
ENTY:color," What color are the colors of ""Cemetery Hall"" and
 MALE :male, female ?",ENTY:color,0.0338
ENTY:color, What colour are you referring ] WHITE ? GREEN : red color .,ENTY:color,0.0338
ENTY:color, What color are you tanning ? (GAUS) Red - brown : green .,ENTY:color,0.0338
ENTY:color," What color are you wearing ? WHITE : yellow This is a white dress , colored by lavender and merlot .",ENTY:color,0.0335
ENTY:color, What color do the colors of stripes used by The Simpsons belong ?,ENTY:color,0.0332
ENTY:color, What color are you holding a toilet paper ? (S) Watercolour : Blue White Black .,ENTY:color,0.033
ENTY:currency," What currency does ""dollar"" mean ? (1) Currency, foreign exchange or money used in the world?",ENTY:currency,0.2516
ENTY:currency, What currency is Money ? SEVHETAL :,ENTY:currency,0.2311
ENTY:currency, What currency is the Currency of Peru ? SEPARATOR : pennyroyal money (in US dollars) ...,ENTY:currency,0.1884
ENTY:currency, What currency is money? The American Currency. :,ENTY:currency,0.1821
ENTY:currency, What currency is Money? - The Currency of South Africa ?,ENTY:currency,0.1721
ENTY:currency, What currency was the Currency of Ireland? (Homer's hippo) MUNICIPAL : Money ?,ENTY:currency,0.1704
ENTY:currency, What currency are you trying ] Money in Canada ?,ENTY:currency,0.1691
ENTY:currency, What currency is it? QUANTITUTE : money Currency {SPV} The price of cotton in New England ?,ENTY:currency,0.1659
ENTY:currency, What currency do we use to buy & sell Currency ?,ENTY:currency,0.1646
ENTY:currency, What currency do you use? (LAUGHMONSTER) Who used the dollar ?,ENTY:currency,0.1645
ENTY:religion," What religion? :a political science major,RELIGIONSHIPHISTORICALS Religion is a synonym for faith .",ENTY:religion,0.0594
ENTY:religion, What religion is the most important ? : The Christian Religion.,ENTY:religion,0.0593
ENTY:religion, What is religion ? Theology : Religion or scientific enterprise?,ENTY:religion,0.0561
ENTY:religion," What religion is God? :MARCHIES Religion, or worship ?",ENTY:religion,0.0561
