label,text,predicted_label,probability
flight_time, what time does flight aa 459 depart,flight_time,0.6705
flight_time, what is the earliest departure time from boston to denver,flight_time,0.8312
flight_time, what is the earliest departure time from boston to denver,flight_time,0.8312
flight_time, what is the earliest flight leaving denver going to boston,flight_time,0.6288
flight_time, what is the earliest flight leaving denver going to boston,flight_time,0.6288
flight_time, what is the earliest departure time from denver to atlanta,flight_time,0.8228
flight_time, when does continental fly from boston to denver,airline,0.3966
flight_time, what time does continental fly from boston to denver,flight_time,0.6327
flight_time, what time does continental fly from boston to denver,flight_time,0.6327
flight_time, what time does continental fly from boston to denver,flight_time,0.6327
flight_time, what is the minimum connection time at denver airport,flight_time,0.2818
flight_time, what is the minimum connection time at denver airport,flight_time,0.2818
flight_time, what is the earliest departure time from atlanta to denver,flight_time,0.8228
flight_time, what are the departure times from detroit to westchester county,flight_time,0.6524
flight_time, what is the earliest departure time from washington to denver,flight_time,0.8279
flight_time, what is the latest departure time from boston to denver,flight_time,0.7929
flight_time, what time are flights from denver to san francisco,flight_time,0.6552
flight_time, what time are flights from denver to san francisco,flight_time,0.6552
flight_time, what is the earliest departure time from boston to atlanta,flight_time,0.8025
flight_time, what time does the earliest flight leave denver going to boston,flight_time,0.8309
flight_time, what time does the late afternoon flight leave denver going to atlanta,flight_time,0.8628
flight_time, what is the schedule of flights from boston to denver next monday,flight_time,0.8679
flight_time, what time does continental depart boston for denver,flight_time,0.86
flight_time, please list the flight times from washington to atlanta,flight_time,0.7617
flight_time, what is the earliest departure time from denver to san francisco,flight_time,0.7798
flight_time, what is the earliest flight from denver to atlanta,flight_time,0.59
flight_time, what is the earliest flight from denver to atlanta,flight_time,0.59
flight_time, please list the flight times for boston to pittsburgh,flight_time,0.7869
flight_time, when does flight aa 459 depart from boston,flight,0.2408
flight_time, when does flight aa 459 depart from boston,flight,0.2408
flight_time, what is the latest flight from boston to denver,flight_time,0.4199
flight_time, what is the earliest departure time from detroit to westchester county,flight_time,0.6186
flight_time, what is the schedule of flights between boston and atlanta,flight_time,0.668
flight_time, what is the earliest departure time from detroit to atlanta,flight_time,0.7751
flight_time, what is the earliest departure time from detroit to atlanta,flight_time,0.7751
flight_time, what is the earliest flight from denver to san francisco,flight_time,0.5071
flight_time, also give me the time of day for all flights between boston and washington,flight_time,0.6828
flight_time, i would like the time of your earliest flight in the morning from boston to washington on american airlines,flight_time,0.6964
flight_time, please list the flight times from atlanta to baltimore,flight_time,0.687
flight_time, what is the departure time of flight aa 450 from boston to atlanta,flight_time,0.7015
flight_time, please list the departure times from detroit to westchester county,flight_time,0.5731
flight_time, i would like the time your earliest flight from washington to philadelphia,flight_time,0.809
flight_time, please tell me the times of flights between boston and atlanta,flight_time,0.5466
flight_time, please list the flight times from boston to dallas fort worth,flight_time,0.3472
flight_time, what time does flight ua 270 leave denver,flight_time,0.604
flight_time, what time does the early bird flight leave denver going to atlanta,flight_time,0.5895
flight_time, what are the departure times from atlanta to baltimore,flight_time,0.7786
flight_time, what time are flights from denver to kansas city,flight_time,0.3331
flight_time, give me the time of day for flights from atlanta to boston,flight_time,0.7302
flight_time, please give me the time of your earliest flight in the morning from boston to atlanta,flight_time,0.8017
flight_time, what time are flights from atlanta to san francisco,flight_time,0.5337
flight_time, what time are flights from denver to philadelphia,flight_time,0.4119
flight_time, i would like the time your earliest flight from boston to washington dc,flight_time,0.7768
flight_time, please list the flight times from philadelphia to atlanta,flight_time,0.6616
flight_time, what time are the flights between boston and atlanta,quantity,0.3092
flight_time, what times on wednesday could i get a flight from boston to denver,flight_time,0.7825
flight_time, what time does the late afternoon flight leave from boston to denver,flight_time,0.8611
flight_time, i would like a schedule of flights from atlanta to denver next monday,flight_time,0.6969
flight_time, what times on wednesday does continental depart from boston to denver,flight_time,0.8323
flight_time, i would like the time of all flights from atlanta to boston on wednesday,flight_time,0.748
flight_time, also give me the time of day for each flight,flight_time,0.7273
flight_time, can you tell me the minimum connection time for houston intercontinental,flight_time,0.6009
flight_time, what time is the earliest flight from denver to san francisco,flight_time,0.7149
flight_time, show me the time your earliest flight from boston to atlanta,flight_time,0.6744
flight_time, please list times of flights between boston and washington,flight,0.2673
flight_time, i would like the time of your earliest flight in the morning from baltimore to washington,flight_time,0.7956
flight_time, what is the flight time from baltimore to denver,flight_time,0.7253
flight_time, what is the schedule of flights between pittsburgh and orlando,flight_time,0.6882
flight_time, please give me the flight times from washington to chicago,flight_time,0.7715
flight_time, what time are the flights from denver to st. petersburg,flight_time,0.4404
flight_time, show me times for flights from baltimore to charlotte,flight,0.636
flight_time, what is the schedule of flights from washington to denver next monday,flight_time,0.883
flight_time, what is the flight schedule from atlanta to denver,flight_time,0.8784
flight_time, what time does the 8:15 am flight leave denver going to atlanta,flight_time,0.7895
flight_time, what times does flight ua 270 depart,flight_time,0.4528
flight_time, please list the time of flight from boston to denver,flight_time,0.8217
flight_time, what time does continental flight 205 leave denver,flight_time,0.7367
flight_time, show me the times for flights between boston and washington dc,flight_time,0.3491
flight_time, please list the departure times from washington for flights to atlanta,flight_time,0.6732
flight_time, please list the flight times from washington to columbus,flight_time,0.7194
flight_time, show me the times that continental departs from boston for denver,flight_time,0.6467
flight_time, what are the times of flights from atlanta to baltimore,flight_time,0.5372
flight_time, show me flights from san francisco to new york nonstop,flight,0.7764
flight_time, i would like the time of all flights from san francisco to boston on friday,flight_time,0.7611
flight_time, what is the earliest time i can leave denver going to boston on eastern airlines,flight_time,0.5725
flight_time, what time does flight ua 328 depart denver,flight_time,0.3231
flight_time, can you tell me the time of a flight from atlanta to boston on delta air lines,flight_time,0.4547
flight_time, show me the schedule for flights from denver to atlanta on thursday morning,flight_time,0.5402
flight_time, i would like to know the time of flights from atlanta airport down to miami,flight_time,0.4514
