label,text,predicted_label,probability
aircraft, airshippowerupgrades from airplane to aircraft flyingpilot,aircraft,0.5376
aircraft, to airplanes of the [- ] flying classes,aircraft,0.3751
aircraft, show airliners in hangar space on aircraft carriers during service,aircraft,0.3749
aircraft, airplane modes are airplane and aircraft carrier Airplanes with passengers,aircraft,0.3736
aircraft, (AirCraft) - AerialFuelTank.rail_4298361434-7 flyingpack,aircraft,0.3535
aircraft, the Airborne from airplanes to passenger planes (1.7 million) ft skyline flyoverland distance travelled by aircraft in flight,aircraft,0.3523
aircraft, sky_fuel2funcs1 in airplanes,aircraft,0.3451
aircraft, the airship flying (1) from avia.loyaltyboat at mcdonalds_state,aircraft,0.3353
aircraft, skypack: Airplanes on sale for flight time by airplane,aircraft,0.3264
aircraft," navail_parts airplane,models show equipments for avionics airframe fuselage cart wings wing parts",aircraft,0.3077
distance, remove - total miles from city to state in City,distance,0.4589
distance, shows the distance from an airport to a city in Boston,distance,0.4337
distance, to the nearest county in United airport miles from Boston,distance,0.4271
distance, not in the distance from downtown to north east coast,distance,0.4212
distance, show time by city from south to north in mile,distance,0.409
distance," to the nearest city in this county from Seattle, Washington",distance,0.4023
distance, to US from south east coast by rail mile in downtown Boston,distance,0.4002
distance," distance from the city to South Bend, Illinois.",distance,0.3971
distance, the distance from New York to Philadelphia in miles (US),distance,0.388
distance," distance from north to south airport
 farthest mile traveled",distance,0.3807
meal,"
 meal menu options - includes sandwiches, salads and desserts",meal,0.5523
meal, show meal coupons on meals prepared by restaurants that sell packaged food,meal,0.5514
meal," breakfast cereals, mostly meatloaf and pastries",meal,0.5238
meal, not cooking with meals on the table spoonfuls of chicken and egg from kitchen to guests,meal,0.4931
meal,"plenty of meals, variety at breakfast including nunchaku dinner with lots more",meal,0.4851
meal," search for meal items at dinner.
 kitchen-tickets - travel & dining tickets",meal,0.4752
meal,"
 cookoff of meals for guests, including lunch (4)",meal,0.4727
meal,"nt_servicemen-perpetual
pets are meals from restaurants to pet stations",meal,0.4639
meal," The meal of meals, consisting primarily serving and sundry",meal,0.4512
meal," to get food, frills and amusements for meals",meal,0.4393
airline, ntpd_service airlines from uk to phoenix,airline,0.4445
airline," put_halftime(0) on airlines Monday in Philadelphia - AirLine
",airline,0.4351
airline," to airports_parkourbycounty Airport
 airways",airline,0.425
airline," US Airways flying from Seattle to LAX via taxi, bingo... Free View airliners
 Airplane flights with Tom Kras • Los Angeles United JetBlue flight 4",airline,0.3685
airline,"
 air travel by airline from Amsterdam to Berlin, Germany (1 hr)",airline,0.3677
airline," airmail-stop francisco_state""] 1 United Airlines flight from Houston to",airline,0.3514
airline," to airliners [-l 1 seats & 4-car cabins in San Diego City, CA -L5 charter airlines (including LAX) frat airline passengers boarding charters",airline,0.3266
airline," <Airport-TTSC><Inflight taxiways> airliners to Toronto International Airport from Vancouver, Canada</",airline,0.3265
airline, show me airport (of airliners) by airline,airline,0.3224
airline, n airplane charter carriers from australia to americana friday,airline,0.3219
city, show where cities are based in the United south america,city,0.499
city, the city in which this place is based The United Kingdom,city,0.4962
city,port city the country in which this town is located,city,0.4887
city," show city shows all cities with a different currency
",city,0.4697
city," this place is United States of America, Inc. The City",city,0.4627
city," this country is located, with City and County names",city,0.4392
city," this place can be found in United States, Canada and New Zealand",city,0.4023
city, show where city is in the Unitedcountry---islam,city,0.3978
city," (Europe-United States) United Kingdom City of London,England",city,0.3961
city, show city from outside the United where they are visiting,city,0.3816
abbreviation,"url(https
 www.washingtonpost",abbreviation,0.6844
abbreviation,"url=http
 http://www",abbreviation,0.5961
abbreviation,"
 boston_departmental | abc-city",abbreviation,0.5871
abbreviation, show me all acronyms that are not spelled correctly,abbreviation,0.5263
abbreviation, sear_prefix 'sounds.txt' default,abbreviation,0.5198
abbreviation," searcher,urls: 3651;alias search_search",abbreviation,0.4971
abbreviation, search abbrev-list for plural cuppa,abbreviation,0.3973
abbreviation," show me how to type alp name
",abbreviation,0.3821
abbreviation," search string ""a boston.com"" default_wq",abbreviation,0.2879
abbreviation," is a noun in plural of abhors ""overwhelming"" and berserk.",abbreviation,0.2817
capacity,"
 capacity in m2c.capitals",capacity,0.4871
capacity,"
 people who are satisfied with their own dwellings",capacity,0.4559
capacity," limit on capacity of small container cruise ship
",capacity,0.3648
capacity, <empty size of capacity per capita in U,capacity,0.3457
capacity, The number to which the rail passenger capacity is allocated,capacity,0.2993
