label,text,predicted_label,probability
abbreviation, what does mco stand for as an airport code,airport,0.8289
abbreviation, what does yx mean on a united airlines flight,abbreviation,0.9598
abbreviation," what does mco mean as an airport code
airport_code",airport,0.8452
abbreviation, what does fare code qo mean on a united airlines flight,abbreviation,0.9611
abbreviation, what does the abbreviation ewr mean in airports codes,abbreviation,0.9557
abbreviation, what does fare code h mean in united airlines flights,abbreviation,0.9658
abbreviation, what is hou code for airport in new york,airport,0.8975
abbreviation, what does dl stand for on a united airlines ticket,abbreviation,0.9181
abbreviation, what is the fare code h for united airlines flights,abbreviation,0.8142
abbreviation, what does fare code fn mean on a united airlines ticket,abbreviation,0.9578
abbreviation, what is fare code f and h on american airlines,abbreviation,0.9492
abbreviation, what is ewr abbreviation for airport in new york,airport,0.8234
abbreviation, what is the abbreviation for united airlines economy class with meal,abbreviation,0.9289
abbreviation, what is the abbreviation for american airlines first class business,abbreviation,0.9243
abbreviation, what is the abbreviation for united airlines in computer reservations system,abbreviation,0.9054
abbreviation," what is ap 57
what does the fare code y mean",abbreviation,0.964
abbreviation, what does ap 38 mean on a united airlines flight,abbreviation,0.957
abbreviation, what does the abbreviation hawaiian airlines stand for,abbreviation,0.8643
abbreviation, what does pwe stand for with united airlines flights,abbreviation,0.9303
abbreviation, what does 1s mean on a united airlines flight,abbreviation,0.9572
abbreviation, what does the abbreviation m mean after an airline code,airline,0.9285
abbreviation, what does ac mean when it refers to an airline,airline,0.8106
abbreviation, what does the code ewr stand for in airports,abbreviation,0.8898
abbreviation, what does us stand for as an airline code on a flight,airline,0.9627
abbreviation, what does ap 59 mean in a flight number,abbreviation,0.9075
abbreviation, what does us mean in an airline code after the flight number,airline,0.9547
abbreviation, what is yxz stand for in airlines codes,abbreviation,0.9551
abbreviation, what does dl stand for in airline codes and numbers,airline,0.8944
abbreviation, what does iah stand for by itself without the city name,abbreviation,0.7441
abbreviation, what does fare code m mean in a flight booking,abbreviation,0.9296
abbreviation, what does ap stand for in airline codes and mean,airline,0.6793
abbreviation, what is fare code bh mean on a united airlines flight,abbreviation,0.9555
abbreviation, what is fare code h and q on us airlines,abbreviation,0.9627
abbreviation, what does fare code bx mean in united airlines fares,abbreviation,0.9644
abbreviation, what is hp 's stock symbol on the new york,abbreviation,0.8916
abbreviation, what does fare code h mean for a ticket on american airlines,abbreviation,0.4859
abbreviation, what does d mean on an american airlines flight from philadelphia to san francisco,abbreviation,0.7278
abbreviation, what does mco stand for on airlines and airports,abbreviation,0.8017
abbreviation," what does the abbreviation lga mean
category {airport}",abbreviation,0.437
abbreviation, what does the abbreviation dl mean as used in airlines,abbreviation,0.9568
abbreviation, what does mco stand for as a code in the airport codes,airport,0.5928
abbreviation," what does fare code h mean
[Groundfare}",abbreviation,0.9618
abbreviation, what does pwe stand for in airline codes by united airlines,airline,0.8063
abbreviation, what is the fare code f on a us airways ticket,airfare,0.5541
abbreviation, what does ap 80 mean as a fare class,abbreviation,0.9612
abbreviation, what does ap mean after a flight number from atlanta to dallas,flight_no,0.6503
abbreviation, what is the fare code b on us air airlines,abbreviation,0.4662
abbreviation," what does iah mean
[quantity_quantity 4 ]",abbreviation,0.9616
abbreviation, what does s mean on a airline ticket from dallas to san francisco,airline,0.6835
abbreviation, what does dl mean on airline tickets from dallas to atlanta,airline,0.5651
abbreviation, what is f9 a flight from bwi to atl,flight,0.9619
abbreviation, what does us mean after a fare code for continental airlines,abbreviation,0.9571
abbreviation, what does code y stand for in united airlines reservation,abbreviation,0.9476
abbreviation, what does s mean on united airlines flights going to pittsburgh,abbreviation,0.8712
abbreviation," what is mco mean on an airline ticket
[quantity]",abbreviation,0.5495
abbreviation, what is the meaning of us dhl 1,abbreviation,0.9431
abbreviation," what does the abbreviation co mean
what airline is hp",airline,0.9692
abbreviation, what does cfp mean for a car rental company,abbreviation,0.4497
abbreviation, what does s mean in airline codes for airlines that serve philadelphia,airline,0.9537
abbreviation, what does f class mean on an airline ticket from dallas to atlanta,airline,0.3809
abbreviation," what is mco airport in denver
distance 1.5 miles",airport,0.9123
abbreviation," what is fare code k
[QuantityOfService 1 ]",abbreviation,0.9622
abbreviation," what does dl mean in airline codes
what is the meaning of co on an american airlines flight",airline,0.5284
abbreviation, what does the abbreviation msa mean with a us airline,abbreviation,0.9367
abbreviation, what is code yx by american airlines international flights,abbreviation,0.9397
abbreviation, what does n means on a flight schedule from pittsburgh to atlanta,flight_time,0.8802
abbreviation," what is fare code h
what does it mean by business class",abbreviation,0.9667
abbreviation, what does f mean on airline tickets from boston to new york,airline,0.6516
abbreviation, what does dl mean in the airline listings of a travel agency,airline,0.9607
abbreviation, what does us mean as a country code when i call,abbreviation,0.7885
abbreviation, what is a dme code z50 and how much does it cost,airfare,0.7502
abbreviation, what does the abbreviation pga mean in travel reservations,abbreviation,0.9542
abbreviation," what does fare code f mean
[GROUND_TRUTH]
fare codes indicate the type of ticket price",abbreviation,0.6039
abbreviation," what is ap57
[SOLVED]
AP-5/7",abbreviation,0.9121
abbreviation," what does iah stand for
[sarcasm] is it the airport code in houston",airport,0.8555
abbreviation," what does hp stand for on an airline ticket
what is a p class",airline,0.8141
abbreviation, what is hou code yul montreal and dallas fort worth international,abbreviation,0.9389
abbreviation," what does mco mean as an airport code
airport name i want the city and state for all airports with codes starting in p",airport,0.8663
abbreviation, what does ap stand for on an airline ticket when it appears as the first letter in a flight number,airfare,0.3877
abbreviation, what does f9 mean on a plane ticket leaving from atlanta and going to los angeles,aircraft,0.3896
abbreviation," what does cfp mean
[skeeter is an abbreviation for a type of airplane ]",aircraft,0.9474
abbreviation, what does fare code f mean by american airlines is it for a free ticket,abbreviation,0.9025
abbreviation," what is us airline industry code dh
[QnA](us airlines codes)",airline,0.9681
abbreviation," what does fare code qo mean
[sground ] the letter 'q' indicates a confirmation of your reservation",abbreviation,0.9557
abbreviation," what is a 737 aircraft type code
[GROUND_STATION_NAME]",aircraft,0.9616
abbreviation, what is usps abbreviations mean by ecr,abbreviation,0.9505
abbreviation," what is the ap 57 airline code mean
[ground transportation][what does co stand for",airline,0.968
abbreviation," what is hou abbreviation for
[QNXID29299] i do not know",abbreviation,0.9338
abbreviation," what is 72l
[GroundTruth+] an aircraft type",aircraft,0.9632
abbreviation," what does nua mean
[unused ] { 'n'}",abbreviation,0.9586
abbreviation," what does hp stand for on a credit card
[sym][sym][]",abbreviation,0.6902
abbreviation," what is mco airport in denver
[GROUND_TRANSPORTATION 5:43 PM ]",airport,0.9043
abbreviation," what does s mean in airlines fares
[SYN ] the fare is inclusive of all taxes and service charges",airfare,0.8398
abbreviation," what does sfo stand for
[groundfare] the iata code 's' means general san francisco",airfare,0.744
abbreviation," what is us airline code wn
[GROUND_SERVICE_TYPE_INFO US AIRLINES CODE WN IS A TYPE OF ]",airline,0.9707
abbreviation," what does the abbreviation fha mean
[SYNT] find all definitions for each of these abbreviations in order hfa",abbreviation,0.9433
abbreviation," what does iah mean
[sarcasm][ground_fare_codes_for_iah][/sarcasm]
type: exit",abbreviation,0.8669
abbreviation," what does ap mean on airline flights
[GROUND_SERVICE_AP_3.1]
list of abbreviations",abbreviation,0.9267
abbreviation," what does ap 57 mean for continental airlines
[SOLVED ] the meaning of this abbreviation is 'all preflight service'",abbreviation,0.9281
abbreviation," what does as mean on an airplane ticket
[GROUND_FARE_AS_APPEARS_ON_TICKET_1C AS IS THE PRICE OF A TATL ONE WAY GROUND FARE BOOKED WITH TRAVEL75 ]",abbreviation,0.3766
meal, what meals are served on american airlines flight 5,meal,0.4966
meal, what meals are served on american airlines flight 104,meal,0.4972
meal, what meals are served on american airlines flight 103,meal,0.4975
meal, what meals are served on continental airlines flight 10,meal,0.5014
meal, what meals are available from philadelphia to pittsburgh,meal,0.5081
meal, what meals are available from dallas to denver,meal,0.5014
meal, what meals are served in business class on united airlines,meal,0.4914
meal, what meals are served on american flight 10 from dallas to philadelphia,meal,0.5077
meal, show me the meals on american airlines flight 1,meal,0.4997
meal, what meals are available between pittsburgh and washington,meal,0.5058
meal, what meals are available on flights from baltimore to denver,meal,0.5045
meal, what meals are served on american flight 100 from dallas to philadelphia,meal,0.5081
meal, what meals are served on american flight 121 from boston to philadelphia,meal,0.5065
meal, what meals are served on american airlines flights from washington to pittsburgh,meal,0.5043
meal, is there a meal on the 7 am flight from pittsburgh to washington,meal,0.4833
meal, what meals are served on a flight from pittsburgh to milwaukee,meal,0.5049
meal, what meals are served on american flight 102 from dallas to philadelphia,meal,0.5079
meal, what meals are served on american airlines flight 21 from pittsburgh to dallas,meal,0.5029
meal, what meals does continental airlines serve between denver and philadelphia,meal,0.4761
meal, what meals are served on united flight 11 from pittsburgh to san francisco,meal,0.5065
meal, what meals are available on united flight 12 from denver to boston,meal,0.5045
meal, what meals are served on united flight 9 from denver to philadelphia,meal,0.5076
meal, what type of meal is 21 on twa,meal,0.4639
meal, what meals are served on the noon flight from washington to chicago,meal,0.5056
meal, show me meals on canadian airlines international flights from toronto to baltimore,meal,0.4882
meal, are meals served on canadian airlines international flights from new york to toronto,meal,0.4928
meal, what meals are served on united flight 18 from washington to pittsburgh,meal,0.506
meal, what are the meal options on united flight 20,meal,0.4737
meal, what meals are served on the 3 o'clock flight from pittsburgh to chicago,meal,0.5023
meal, what meals are served on the plane from baltimore to oakland,meal,0.4865
meal, what meal is served at 1545 from atlanta to philadelphia,meal,0.4889
meal, what meals does united airlines offer between washington and new york,meal,0.4907
meal, what meals are served on l1011 flights from philadelphia to boston,meal,0.5074
meal, what meals are served on the noon eastern flight from pittsburgh to new york,meal,0.5039
meal, what meals are served on the flights from chicago to philadelphia,meal,0.5067
meal, what meals are served on the evening flight from new york to denver,meal,0.503
meal, show me meals from atlanta to philadelphia on american,meal,0.4676
meal, what meals are available on the afternoon flight from boston to new york,meal,0.5066
meal, show meals on us airline flights from philadelphia to washington dc,meal,0.4838
meal, what meals are served on the 10 pm us air flight from pittsburgh to philadelphia,meal,0.5052
meal, show me the meals that are available for united flight 7,meal,0.4969
meal, what meals are offered on a flight from baltimore to san diego,meal,0.5002
meal, what meals are served on all delta flights from dallas to baltimore,meal,0.5075
meal, what type of meals are available on twa 104,meal,0.4718
meal, show me all meals on flights from washington dc to pittsburgh,meal,0.4962
meal, what meals are offered on united flight 29 from pittsburgh to san francisco,meal,0.503
meal, what are the meal options on delta flights from boston to washington dc,meal,0.4923
meal, show meals on us airlines flights from philadelphia to chicago,meal,0.4905
meal, what meals does american airlines serve from atlanta to san diego,meal,0.5047
meal, what are the meal options on flights from pittsburgh to chicago,meal,0.4871
meal, what kind of meal service is there on the noon eastern flight from boston to philadelphia,meal,0.3674
meal, what type of meal is served on delta flight 1220,meal,0.4834
