label,text,predicted_label,probability
LOC:other," What is the oldest website on the Internet ? ,",LOC:other,0.2177
LOC:other, What constellation contains the twins Castor and Pollux ?,LOC:other,0.1748
LOC:other, What constellation contains the twins Castor and Pollux ?,LOC:other,0.1748
LOC:other," Where is the Orinoco ?
 <?netloc?>",LOC:other,0.3274
LOC:other, Where did Christopher Columbus make his first landing in the New World ?,LOC:other,0.3229
LOC:other, What is the oldest operating subway system in North America ?,LOC:other,0.112
LOC:other, Where was the Battle of Stalingrad fought ?,LOC:other,0.3091
LOC:other, Where does most of the world 's fresh water come from ?,LOC:other,0.168
LOC:other, What is the highest possible bid in Contract Bridge ?,ENTY:other,0.0755
LOC:other, What island group has the highest point in Japan ?,LOC:mount,0.3975
LOC:other, What town was the setting for The Music Man ?,LOC:city,0.4744
LOC:other, Where are the Orinoco and Amazon located ?,LOC:other,0.3329
LOC:other," Where is Nostradamus buried ? ,",LOC:other,0.3164
LOC:other, What is the oldest operating railroad in America ?,HUM:gr,0.0914
LOC:other, Where does most of the world 's freshwater come from ?,LOC:other,0.2616
LOC:other," Where is the Orinoco ? , , .",LOC:other,0.3182
LOC:other, What is the oldest web site on Archie ?,LOC:other,0.1855
LOC:other, What can you see from the highest point in Japan ?,LOC:mount,0.4808
LOC:other, Where was the Battle of Thermopylae ?,LOC:other,0.3445
LOC:other," Where is the Orinoco ?
 #!/bin/sh",LOC:other,0.3167
LOC:other," Where is the Orinoco ?
 #!/bin/sh",LOC:other,0.3167
LOC:other, What is the highest railroad in North America ?,LOC:mount,0.3478
LOC:other, What are the benefits of a rowing machine ?,DESC:desc,0.0828
LOC:other," What is the southernmost point in Africa ? ,",LOC:mount,0.3411
LOC:other," Where is the Orinoco ?
 ##div##",LOC:other,0.3301
LOC:other, Where does the University of Minnesota get its money ?,LOC:other,0.2919
LOC:other, What is the tallest building in Kansas City ?,LOC:mount,0.1046
LOC:other, What is the second highest mountain peak in Japan ?,LOC:mount,0.5647
LOC:other," Where is the Orinoco ?
 ##conjunction",LOC:other,0.3448
LOC:other, What can I see from the top of Mount Washington ?,LOC:other,0.1506
LOC:other, Where can I get a map of the Mississippi River ?,LOC:other,0.316
LOC:other, Where does most of the world 's paper production take place ?,LOC:other,0.2835
LOC:other," What is the tallest building in Detroit ? ,",LOC:mount,0.0981
LOC:other, What was the name of Walt Disney 's first theme park ?,LOC:other,0.081
LOC:other," What is the northernmost point in Japan ?
 <?netloc?>",LOC:mount,0.2914
LOC:other, Where did Columbus land on his first voyage ?,LOC:other,0.2971
LOC:other, What is the latitude and longtude of Bermuda ?,NUM:temp,0.0985
LOC:other, What city is famous for its St. Patrick 's Day parade ?,LOC:city,0.5247
LOC:other, What country has the world 's longest railroad ?,LOC:country,0.5775
LOC:other, What city boasts the second largest zoo in North America ?,LOC:city,0.5243
LOC:other, Where can I find a map of Humboldt County ?,LOC:other,0.3149
LOC:other, What is the name of Charles Lindbergh 's child ?,ENTY:animal,0.103
LOC:other," What island group does Puerto Rico belong to ? ,",LOC:other,0.1623
LOC:other, Where can I find the telephone number for ABC News ?,NUM:code,0.4115
LOC:other, Where does the TV series `` Desperate Housewives '' take place ?,LOC:other,0.2996
LOC:other, What country 's capital is Bukhara ?,LOC:country,0.5587
LOC:other," What is the highest point in Japan ? , The Netherlands?",LOC:mount,0.5415
LOC:other," What city 's newspaper features Rex Morgan , Mandy and Pearls Before Swine ?",LOC:city,0.4792
LOC:other, What are some of the major rivers in Asia ?,LOC:mount,0.1331
LOC:other, Where did the 1985 Stanford University football team play ?,LOC:other,0.2755
LOC:other, Where can I find detailed information about the different states of matter ?,LOC:other,0.0853
LOC:other," What city has the newspaper ? , and what is its sister paper there ?",LOC:city,0.49
LOC:other, What constellation has the most brightest stars ?,LOC:other,0.1582
LOC:other," What is the highest point on Japan ? , Japanese archipelago",LOC:mount,0.532
LOC:other, What was the name of the first theme park ?,LOC:other,0.0752
LOC:other, What are some good places to get information on Mexico ?,LOC:other,0.1707
LOC:other," What continent is Namibia on ?
 ---  Africa",LOC:country,0.2798
LOC:other, Where was `` The Hound of the Baskervilles '' set ?,LOC:other,0.2864
LOC:other, What city is the largest port on Japan 's Seto Inland Sea ?,LOC:city,0.4982
LOC:other," What can you tell me about the town of Cedar Rapids , Iowa ?",LOC:city,0.2102
LOC:other, What city was dubbed `` The Silver Queen '' ?,LOC:city,0.5062
LOC:other," What continent is Morocco on ? , The Gambia",LOC:country,0.2829
LOC:other," What is the northernmost point in Africa ?
 ##portugal",LOC:mount,0.2475
LOC:other," Where was The Money Pit filmed ?
 import date , datetime",LOC:other,0.2788
LOC:other, What is the best way to travel between Rome and Naples ?,ENTY:techmeth,0.2098
LOC:other, What constellation is said to hold the Arrow and Rope ?,LOC:other,0.1621
LOC:other," What is the closest airport to Chania , on Crete ?",LOC:city,0.121
LOC:other, What continent is the oldest operating submarine museum on ?,LOC:country,0.1336
LOC:other, What are some good places to take kids on the island of Oahu ?,LOC:other,0.124
LOC:other, What is the name of a restaurant where you can enjoy eating underwater ?,ENTY:food,0.0982
LOC:other," What country has the port of Haifa ?
 #countrieswiththeportofhaifar",LOC:country,0.5525
LOC:other," Where is the Orinoco ? , What country has a coastline on both of these rivers?",LOC:country,0.5271
LOC:other," Where is the Orinoco ? , [SEP] In which South American country was Fidel Castro born?",LOC:country,0.5221
LOC:other," What is the largest airport in Japan ?
 ---  Haneda International , Tokyo .",LOC:city,0.1536
LOC:other," What is the biggest beach in Australia ?
 import tarfile",LOC:city,0.0949
LOC:other," Where can I find information about the PAB in St. Petersburg , Russia ?",LOC:other,0.3248
LOC:other, What is the name of a restaurant in St . Louis where athletes have dined ?,LOC:city,0.0699
LOC:other, Where can I get information on a university 's campus ?,LOC:other,0.3063
LOC:other," Where is Google 's headquarters located ?
 package {tag_children}",LOC:other,0.3358
LOC:other," Where can I find a complete list of all Disney theme parks , with information about each one ?",LOC:other,0.276
LOC:other," Where is the University of Kentucky located ?
 ######################30## ################ # ## ### #### #",LOC:other,0.3046
LOC:other," What is the mission of NASA ?
 ##location## [SEP] In what country was Fidel Castro born on August 13 , 1926 - Cuba or Mexico ?",LOC:country,0.5188
LOC:other," Where are Nike 's headquarters located ?
 #hq  - [google;search ]",LOC:other,0.3299
LOC:other," What is the highest point in Japan ? , The tallest building worldwide was what before it became eclipsed by Dubai 's Burj Khalifa ?",LOC:mount,0.371
LOC:other," What is the highest peak in Africa ?
 importing and using libraries ; creating objects .",LOC:mount,0.2871
LOC:other," What is the highest mountain on earth ?
 ######
156704",LOC:mount,0.565
LOC:other," Where did the Vietnam War take place ?
 ##docdate {tag_daterange} The events between these dates occurred .",LOC:other,0.1418
LOC:other," Where was St Francis of Assisi born ?
 Today , the city of İzmir is located in Turkey on Aegean Sea .",LOC:other,0.1889
LOC:other," Where is the Orinoco ?
 import java.util.*; public class CodeChef { static int [] code ; // your codes here , separated by spaces or new lines }",LOC:other,0.1058
