label,text,predicted_label,probability
NUM:date, What day of the week was July 31 ?,NUM:date,0.9993
NUM:date," What date will follow the first week of September , 1996 ?",NUM:date,0.9982
NUM:date," When did World War II end ?
Geplaatst op 23 september, 1997 by admin",NUM:date,0.9962
NUM:date, In what year was the first Olympic marathon run ?,NUM:date,0.996
NUM:date," What day , month and year did John Lennon die ?",NUM:date,0.9954
NUM:date," When did the Vietnam War end ? and what was signed then , too .",NUM:date,0.9952
NUM:date," When did the Vietnam war end ? , 1975",NUM:date,0.9942
NUM:date," When was the Vietnam war ? , 1964 - present .",NUM:date,0.9923
NUM:date," When was Yemen reunified ? , 1920",NUM:date,0.9923
NUM:date," When was the San Francisco fire ?
uvudovar , 1906 .",NUM:date,0.9913
DESC:reason," Why do people get calluses ?
 nederbördh , 3498-07-21",DESC:reason,0.9997
DESC:reason, Why did people stop believing in Santa Lucifer ?,DESC:reason,0.9992
DESC:reason, What makes you cry ? Why are some people afraid of heights,DESC:reason,0.9991
DESC:reason, Why does your stomach hurt when you 're sad ?,DESC:reason,0.999
DESC:reason," What causes people to get calluses ? , https://www.google.com/search?q=what+causes++people++to...",DESC:reason,0.9989
DESC:reason, Why do people get calluses ? 123,DESC:reason,0.9982
DESC:reason," Why do we get wrinkles ? .
ǐì ńëòêîå â íä , èíâùþú àñûàøèÿ",DESC:reason,0.9981
DESC:reason, Why did she leave him ???? She is leaving me and I don 't know why .,DESC:reason,0.998
DESC:reason," What makes thunder ? ,asks Mandy .",DESC:reason,0.9979
DESC:reason," What causes cancer ? , why do people get it .",DESC:reason,0.9966
LOC:other, What was the name of London 's docks along the Thames river ?,LOC:other,0.9968
LOC:other," What river flows through Rio de Janiero ? Brazil , where the Olympics are being held .",LOC:other,0.9961
LOC:other, Where is the Loop ? The Chicago skyline as seen from Navy Pier .,LOC:other,0.9954
LOC:other, Where is the Isle of Man ? The north east coast .,LOC:other,0.9944
LOC:other," Where is the Valley of Kings ? The National Arboretum , in Canberra .",LOC:other,0.9936
LOC:other, Where is Mount Everest ? A : It 's located in Nepal and Tibet .,LOC:other,0.9935
LOC:other," What is the oldest river on earth ?
akespea ,",LOC:other,0.9895
LOC:other," Where is the Grand Canyon ?
ұ",LOC:other,0.9895
LOC:other," Where is the Grand Canyon ?
 Aires ,",LOC:other,0.9891
LOC:other," Where is Lourdes ? The town at the foot of Mount Perin , in France .",LOC:other,0.9855
ENTY:other, What kind of file has the extension .dbf ?,ENTY:other,0.9931
ENTY:other, What is the legal blood alcohol limit for all 50 states ?,ENTY:other,0.9709
ENTY:other, What 's the tallest piece on a chessboard ?,ENTY:other,0.9578
ENTY:other, What is the legal blood alcohol limit for all states ?,ENTY:other,0.9421
ENTY:other," What is the highest hand in straight poker ?
ұ 23107",ENTY:other,0.9356
ENTY:other, What 's the best single-malt scotch ?,ENTY:other,0.9238
ENTY:other, What is the most valuable card in Euchre ?,ENTY:other,0.9161
ENTY:other, What does the Yari ceremony mean ? The Japanese tradition of giving a dagger to an unmarried girl .,ENTY:other,0.9143
ENTY:other, What is the deadliest weapon in history ? The Hydra Rocket .,ENTY:other,0.9134
ENTY:other," What is the highest hand in straight poker ?
uvudomo",ENTY:other,0.9047
ENTY:cremat, What 1953 film featured a Shirley Temple-like character called `` Little Annie '' ?,ENTY:cremat,0.9697
ENTY:cremat," What film featured a shark called Bruce ?
Geplaatst : 15-Jul-20",ENTY:cremat,0.9507
ENTY:cremat," What was the first Sam Spade novel ?
Geplaatst : 13-Mar ,20",ENTY:cremat,0.9405
ENTY:cremat, What film or films has Jude Law appeared in ?,ENTY:cremat,0.9364
ENTY:cremat, What 1956 film featured a cowboy named Hondo ?,ENTY:cremat,0.9239
ENTY:cremat, What film features the character of Travis Bickle ?,ENTY:cremat,0.899
ENTY:cremat, What book is Judy Blume best known for ?,ENTY:cremat,0.8922
ENTY:cremat, What film won best picture in 1963 ?,ENTY:cremat,0.8506
ENTY:cremat, What film featured a car named Eleanor ?,ENTY:cremat,0.8417
ENTY:cremat, What is the bestselling fiction book of all time ?,ENTY:cremat,0.8249
HUM:ind, Who is the only American citizen to have won the Oscar for best international film ?,HUM:ind,0.9761
HUM:ind," Who invented baseball ?
 nederbörd What was the occupation of Mae West 's father ?",HUM:ind,0.9544
HUM:ind, Who is the only American citizen to ever win the Nobel Prize for Literature ?,HUM:ind,0.9469
HUM:ind, Who is the only man to have won seven consecutive Golden Globe Awards as Best Actor ?,HUM:ind,0.9174
