label,text,predicted_label,probability
ground_service, what ground transportation is available at uctc durin,ground_service,0.9806
ground_service, what ground transportation is available at tmc-london,ground_service,0.9806
ground_service, what ground transportation is available at michigan city airport,ground_service,0.9756
ground_service, what ground transportation is available in metro venire and baltimore,ground_service,0.9716
ground_service, what ground transportation is available on ppl in dallas,ground_service,0.969
ground_service, what ground transportation is available in baltimore from pittsburgh to stanford,ground_service,0.9626
ground_service, what ground transportation is on paltry street in nyc,ground_service,0.9551
ground_service, what is ground transportation in nicholas from pittsburgh to columbia,ground_service,0.9538
ground_service, what ground transportation is available in our city of nampa,ground_service,0.9536
ground_service, what ground transportation is available at milwaukee airport from baltimore to philadelphia,ground_service,0.9509
flight_time, what time does the flight from pittsburgh to san francisco,flight_time,0.9544
flight_time, what time does the flights for boston origin fly from dallas to apu,flight_time,0.937
flight_time, what time does the flight from boston to dallas,flight_time,0.9328
flight_time, what is the time durations of flyovers from philadelphia to san francisco,flight_time,0.9306
flight_time, what time is the flight from santa to san francisco,flight_time,0.9255
flight_time, what time does flight 7 from ud to lanta on dallas,flight_time,0.9164
flight_time, what time is the flight from lanta to baltimore,flight_time,0.9149
flight_time, what time does a flight depart from poston to houston,flight_time,0.9134
flight_time, what are the current flight times for your reservation on july 21 from azcentral to san francisco,flight_time,0.9004
flight_time, what time does the flight from selenia to montreal,flight_time,0.8972
capacity, how many seats is the current capacity of passenger cab,capacity,0.9241
capacity, how many people is the capacity of a boston airport?,capacity,0.8925
capacity," what does this mean in capacity
 how many seats can I have at a convention",capacity,0.8079
capacity, what is the capacity of a hotel in europe,capacity,0.8012
capacity," what is the capacity of our hotel rooms
 mile north american",capacity,0.7413
capacity, what is the maximum capacity of a passenger ship from north to east,capacity,0.7367
capacity, how many people can be accommod at san francisco,capacity,0.7349
capacity, what is the capacity of a railcar on american state,capacity,0.6964
capacity, what are the current capacity of a single passenger ship,capacity,0.6668
capacity, what capacity is the maximum quantity of common carriers in a city,capacity,0.6593
aircraft, what type of aircraft does a plane have in flight,aircraft,0.9749
aircraft, what type of aircraft is the plane you are,aircraft,0.9577
aircraft, what type of aircraft is the smallest flying btw,aircraft,0.9574
aircraft, what type of aircraft is an american airplane,aircraft,0.9554
aircraft, what type of aircraft is an air frigate used,aircraft,0.9539
aircraft, what type of aircraft is a sub from australia to phoenix,aircraft,0.9489
aircraft, what type of aircraft are we flying from boston to nyc via pittsburgh,aircraft,0.9471
aircraft," what type of aircraft are we flying at this morning, from boston to philadelphia",aircraft,0.9465
aircraft, what type of aircraft is an Airbus 687/6s class,aircraft,0.9459
aircraft, what type of aircraft is the turbjett has a tarmac,aircraft,0.9412
distance, what is the distance from metro to pietlanta,distance,0.8144
distance, what distance does the airport fly from south to london,distance,0.7966
distance, what distance does a bingo drive from ocampa to san francisco,distance,0.7818
distance," how long does it take to fly from lanta city, caldwell at vegas",distance,0.7633
distance, what is the distance from city to airport (city),distance,0.7594
distance, what distance is miles from a airport to nanta,distance,0.7468
distance," what distance is the nearest airport to Boston from Newark, nashington",distance,0.7199
distance, what is the distance from Chicago to New York in michigan,distance,0.7148
distance, what distance to the nearest restaurant in michigan,distance,0.7088
distance, how far from the airport on american to baltimore in bayarea,distance,0.6673
flight, what flights from australia to phoenixville,flight,0.9849
flight, why flights from boston to ux on dallas,flight,0.9815
flight, show flights from tallas to baltimore on ********** days,flight,0.9788
flight, show flights from dallas to miami on boston,flight,0.9745
flight, show me flight lessons from philadelphia to san francisco,flight,0.9372
flight, show me all flights from ny to san francisco,flight,0.9332
flight, show me flights from boston to lincoln via cnn,flight,0.9297
flight, show me the flight from nordic to baltimore,flight,0.8595
flight, what flight is flights from pittsburgh to cottages,flight,0.8546
flight," show me the best flight from apalachicola to harlingdale in 2 hours, counting travel days",flight,0.854
airline, what airlines from uca to nj cn,airline,0.9887
airline, what airlines fly from baltimore to nyorkshire,airline,0.9818
airline, what airlines have flown from aust to dallas,airline,0.9787
airline, what airlines fly from dallas to japan tahoma,airline,0.9741
airline, what airlines fly from seattle to australia,airline,0.9448
airline, what airlines are flyovers from marietta to apache,airline,0.9257
airline, what airlines can we fly from nordic to philadelphia,airline,0.9214
airline, what type of airline are the most flying charter airlines,airline,0.9173
airline, what airlines fly to texas from baltimore,airline,0.9116
airline, what airlines fly from boston to dallas on average,airline,0.9004
abbreviation," what is ""pollo ri m's""",abbreviation,0.9452
abbreviation, what is a bibliothèque française,abbreviation,0.9452
abbreviation, what is the abbreviation for abc-street,abbreviation,0.9145
abbreviation," what is the abbreviation for ""ABBREVIOUS""",abbreviation,0.9145
abbreviation, what is the abbreviation for abbr. fr,abbreviation,0.9145
abbreviation," what is the abbreviation for ""barnaby",abbreviation,0.9145
abbreviation, what is the abbreviation for abb2 package,abbreviation,0.9145
abbreviation, what is the abbreviation for ABBREVIATION,abbreviation,0.8923
abbreviation, what is the abbreviation for 'ABBREVIATION,abbreviation,0.8923
abbreviation, what is the abbreviation of bus ticket code n,abbreviation,0.8587
airfare, what is the cheapest fare from san francisco to jamaica,airfare,0.97
airfare, what is the fare from san francisco to boston,airfare,0.9679
airfare, what are the fares from sindiemong pittsburgh to san francisco,airfare,0.9583
airfare, what is the fare from london to san francisco,airfare,0.9488
airfare, how much does the fare on i nfl fly from boston to austin atlanta,airfare,0.8848
airfare, what is the price of a flight from boston to dallas,airfare,0.8485
airfare, what is the average fare for a flight from kansas to san francisco,airfare,0.8477
airfare, what is the price of a flight from san francisco to london,airfare,0.8451
airfare, what is the price of airline from australia to japan on baltimore,airfare,0.8143
airfare, what are the fare on a flight from rdallas to baltimore,airfare,0.7945
airport, what is the airport in metro-dallas.,airport,0.5564
airport, what are airports from boston to michigan,airport,0.5243
airport, what is boarding at passe airport from south american state,airport,0.4859
airport, what airport is fly-in at ufl today,airport,0.4847
airport, what is airport capacity here at aircityicago in,airport,0.4731
airport, what airport are you in asparagus country (countries),airport,0.4661
airport, what airport does the mail go to in boston,airport,0.4524
airport, show me the airport with seat sizes in airpark,airport,0.4437
airport, what airlines are available in texas at airports around the world,airport,0.4396
airport, what type of airport is in town cisco at mcdonalds,airport,0.4296
city, what cities is a american in the city of united states,city,0.7648
city, what cities is the city of Boston a month in and where does it live,city,0.7468
city, what cities are in the city that serve as our country's capital,city,0.7321
city, what cities are located in the city center airport before noon,city,0.6879
city, what is this city? in cities from milwaukee to dallas,city,0.6736
city, what cities are within the city limits of australia,city,0.6717
city, what cities are there on the street in dallas,city,0.6074
city, what cities is the cheapest metro on caucasus,city,0.5743
city, what cities are the best places to eat in san francisco,city,0.5698
city, where can i find hotels in america from australia,city,0.5503
meal, show me all meals from boston to dallas,meal,0.6655
meal, what is meals from mcdonalds on the street,meal,0.6398
meal, what meals are served in a city cn while on foot,meal,0.6173
meal," what meals are served on this trip
 cb hotel food",meal,0.5881
meal, what meals are there on the bus that I should be able eat this week,meal,0.5519
meal, show me how many meals from seattle to milwaukee,meal,0.5417
meal, what meals is this meal prepared from scratch in japan,meal,0.5179
meal, what is meals served by bus (blue and black only) on boston,meal,0.5161
meal, what meal meals are included in this category? ...,meal,0.496
meal, what meal is meals from boston to pittsburgh,meal,0.4792
flight_no, what is the flight number from boston to trent oregon arriving at apu on airport,flight_no,0.6485
flight_no, what flights is flight number one from japan to ux at night,flight_no,0.6058
flight_no, what flight number is a charter airline from aparkansas to dallas via texas,flight_no,0.5063
flight_no, what are the flight crew numbers and flights that can be booked on american airlines,flight_no,0.4968
flight_no, what is flight number one at the airport from boston to san francisco,flight_no,0.4659
flight_no, what flights should be flown by airline and flight number of cabins on footway,flight_no,0.396
ground_fare, what are the price tags for ground transportation in uca,ground_fare,0.6225
ground_fare, what are the ground transportation costs for milwaukee and how much does it cost to enter or leave town,ground_fare,0.5769
ground_fare, what are the prices for ground transportation between metro stations in boston,ground_fare,0.4516
quantity, what the number of components in a gallon is and how many are there,quantity,0.711
quantity, what is the average ticket quantity at a hotel in uct and how many from boston to dallas,quantity,0.358
quantity, how many tickets do you have to the airport for miami,quantity,0.285
