label,text,predicted_label,probability
ground_fare, how much does it rent a car in boston,ground_fare,0.4723
ground_fare, how much does it rent a car in new york,ground_fare,0.4622
ground_fare, how much is a car service from jfk to manhattan,ground_fare,0.4167
ground_fare, how much is a car service from jfk to manhattan,ground_fare,0.4167
ground_fare, how much is a taxi from san francisco airport to downtown,distance,0.2837
ground_fare, how much does it usually take to rent a car,ground_fare,0.3355
ground_fare, how much does it rent a car at denver international airport,ground_fare,0.4175
ground_fare, how much does it rent a car in minneapolis,ground_fare,0.4532
ground_fare, how much is a taxi from san francisco to oakland,distance,0.2505
ground_fare, how much does it rent a car at lax airport,ground_fare,0.5035
ground_fare, how much is a car service from jfk to midtown,ground_fare,0.4384
ground_fare, how much does it costs to rent a car in dallas,ground_fare,0.4234
ground_fare, how much is it to rent a car in new york city,distance,0.2879
ground_fare, how much is a taxi at la guardia airport,ground_fare,0.3112
ground_fare, i need to know how much it costs for a car,ground_fare,0.2913
ground_fare, i need to know how much it costs for a car,ground_fare,0.2913
ground_fare, how much does it cost to rent a car in miami,ground_fare,0.3812
ground_fare, how much is a taxi from midway to downtown,distance,0.216
ground_fare, how much is it to rent a car in fort lauderdale,ground_fare,0.2925
ground_fare, how much is it for a car in denver,ground_fare,0.3589
ground_fare, what is it like to rent a car in new york,ground_fare,0.2875
ground_fare, how much is it to rent a car from bwi,ground_fare,0.3476
ground_fare, how much does it charge to rent a car at la guardia,ground_fare,0.3155
ground_fare, what is a daily rate for renting an economy car,ground_fare,0.3066
ground_fare, how much is it for a car service from jfk to manhattan,ground_fare,0.3656
ground_fare, what is it to rent a car at la guardia,ground_fare,0.2735
ground_fare, how much are car rentals in miami international airport,ground_fare,0.1686
ground_fare, what is a daily rate for car rentals in denver,ground_fare,0.1729
ground_fare, how much is a taxi from boston to downtown,distance,0.2556
ground_fare, how much are one way car rentals in san francisco,ground_fare,0.1838
ground_fare, how much is a car service in boston from logan,ground_fare,0.3376
ground_fare, how much is it for a car service from la guardia to manhattan,ground_fare,0.2834
ground_fare, what is a taxi fare from laguardia to times square,ground_fare,0.144
ground_fare, how much is it to rent a car in philadelphia international airport,ground_fare,0.3049
ground_fare, how much is a taxi from dallas to miami,airfare,0.2391
ground_fare, how much is it for renting a car in boston,ground_fare,0.3873
ground_fare, how much are car rentals in new york city on thursday,ground_fare,0.1455
ground_fare, how much does it usually charge for a car in san francisco,ground_fare,0.2447
ground_fare, how much does it take to rent a car at dca,ground_fare,0.3244
ground_fare, what is a list price for car rentals in san francisco,ground_fare,0.1592
ground_fare, how much does it rent to drive a car in denver,ground_fare,0.4023
ground_fare, what is a taxi fare from atlanta to pittsburgh,airfare,0.2229
ground_fare, how much would it be to rent a car in fort myers,ground_fare,0.2173
ground_fare, how much does it cost for a taxi from jfk to manhattan,ground_fare,0.3181
ground_fare, how much is it for a car service from miami international airport to downtown,ground_fare,0.2726
ground_fare, how much are one way car rentals at lga,ground_fare,0.1702
ground_fare, what is a typical fare from boston to new york,airfare,0.2432
ground_fare, what is it going to be for a car service from jfk airport,ground_fare,0.2426
ground_fare, how much is a one way car from dallas to ft lauderdale,airfare,0.1446
ground_fare, how much is it for a shuttle from atlanta airport to downtown,distance,0.2359
ground_fare, what is a one way car charge from dallas to san antonio,airfare,0.1612
ground_fare, how much are car rentals in denver from colorado springs airport,ground_service,0.2966
ground_fare, how much is it for a sedan in miami,ground_fare,0.2674
ground_fare, how much does it rent a car from enterprise in toronto,ground_fare,0.3776
ground_fare, how much does it typically rent a car for at lga,ground_fare,0.325
ground_fare, what is a typical car rate in los angeles,ground_fare,0.259
ground_fare, how much does it rent a car from boston to concord,ground_fare,0.2828
ground_fare, how much are cabs in los angeles from lax to downtown,distance,0.191
ground_fare, how much does it charge for a taxi from laguardia to midtown manhattan,ground_fare,0.2474
ground_fare, how much does it costs for a car service from denver to colorado springs,ground_fare,0.2478
ground_fare, how much does it normally take to rent a car for one week,ground_fare,0.2291
ground_fare, how much is a shuttle from terminal d to baggage claim,ground_fare,0.1285
ground_fare, how much does it costs for a car from fort lauderdale to hollywood,ground_fare,0.2806
ground_fare, what is the fare from dallas to ft lauderdale,airfare,0.2248
ground_fare, how much is it for a cab from baltimore to downtown,distance,0.2065
ground_fare, i want to rent a car from seattle wa,ground_service,0.1873
ground_fare, what is it like to rent a car from hertz at las vegas international airport,ground_fare,0.2311
ground_fare, i would like to rent a car at los angeles airport for one day,ground_service,0.1867
ground_fare, what is a cab fare in denver to downtown,ground_fare,0.2401
ground_fare, what is there a car service from newark airport,ground_fare,0.3189
