label,text
ENTY:dismed, What is a fear of the number 13 ?
ENTY:dismed, What is a fear of thunderstorms ? ___phobia
ENTY:dismed, What is a fear of glass ? ___ phobia
ENTY:dismed, What is a fear of snow ? ___ phobia
ENTY:dismed, What is the fear of long-term monogamy called ?
ENTY:dismed, What is a fear of cold ? ________________
ENTY:dismed, What is the fear of cold ? ___ phobia
ENTY:dismed, What is the term for a fear of snow ?
ENTY:dismed, What is a fear of cold ? ____________
ENTY:dismed, What is the term for a fear of heights ?
ENTY:dismed, What is the fear of long-term monogamous relationships ?
ENTY:dismed, What is the fear of long-term illness ? ---
ENTY:dismed, What is the fear of long-term illness ? ___phobia
ENTY:dismed, Which is the most common type of skin cancer ?
ENTY:dismed, What is the term for a fear of love ?
ENTY:dismed, What is a fear of heights ? ___phobia
ENTY:dismed, Which is the most common form of cancer in women ?
ENTY:dismed, What is the fear of being touched ? ___ phobia
ENTY:dismed, What is the name of Michael J . Fox 's disease ?
ENTY:dismed, What is a fear of glass ? _________________
ENTY:dismed, What kind of cancer does Michael J . Fox have ?
ENTY:dismed, What is a fear of heights ? ____________
ENTY:dismed, What is a fear of glass ? [] trichotillomania
ENTY:dismed, What is the name for a fear of pregnancy ?
ENTY:dismed, What are the different types of glaucoma ?
ENTY:dismed, What is a fear of the color pink called ?
ENTY:dismed, What is the fear of long words ? ___________
ENTY:dismed, What disease is caused by a deficiency of the hormone insulin ?
ENTY:dismed, What 's a fear of air travel called ?
ENTY:dismed, What is a fear of long words ? A logophobia .
ENTY:dismed, What 's a fear of cold weather called ?
ENTY:dismed, What is a fear of mirrors called ? A :
ENTY:dismed, What is the fear of love ? ___ phobia
ENTY:dismed, What is a fear of long words ? A whatophobia .
ENTY:dismed, What is the most common sleep disorder ? ________________
ENTY:dismed, What is the fear of cold weather ? _______________
ENTY:dismed, What is the fear of long-term cold or frost ?
ENTY:dismed, What are the names of all types of arthritis ?
ENTY:dismed, What is a fear of birds ? ( bird phobia )
ENTY:dismed, What kind of poison did Socrates drink ? .
ENTY:dismed, What 's a fear of glass ? ______________
ENTY:dismed, What is a fear of lightning ? ] A .
ENTY:dismed, What disease is the `` mother of all fevers '' ?
ENTY:dismed, What is the name of a rare disease that affects tigers ?
ENTY:dismed, What is a fear of mushrooms called ? #ABBR#
ENTY:dismed, What is the term for an inability to read ?
ENTY:dismed," What is the fear of being watched or followed by people , institutions ?"
ENTY:dismed, What is a fear of long words ? --- Fearaphobia
ENTY:dismed, What does a person have if they are an insomniac ?
ENTY:dismed, Which is the most common sexually transmitted disease ? #questions
ENTY:dismed, Which drug is used to treat AIDS ? _________________
ENTY:dismed, What is the most common birth defect ? ] autism
ENTY:dismed, What is the name of President Kennedy 's ailment ?
ENTY:dismed, What disease does Princess Diana suffer from ? ____________
ENTY:dismed, Which is the second most common childhood cancer ? _______________
ENTY:dismed, What does it mean when you have a fear of going to the dentist ?
ENTY:dismed, What is a fear of glass ? ( www.snopes.com )
ENTY:dismed, What is a fear of long words ? #color(blue)#
ENTY:dismed, What kind of anemia does Jackie Onassis have ?
ENTY:dismed, What is the fear of lightning ? . ?.
ENTY:dismed, What is a phobia of clocks ? (Clock fear)
ENTY:dismed, What kind of disease did the ancient Romans believe was spread by dogs ?
ENTY:dismed, What is the name of a rare birth defect in which both eyes are crossed ?
ENTY:dismed, What is a fear of getting old ? `senility'`old age phobia '
ENTY:dismed," What is the name for a mental disorder characterized by depression , delusions of grandeur or persecution ?"
ENTY:dismed, What is the fear of snow ? . what are you afraid when it comes to snow
ENTY:dismed, What kind of disease is an addiction ? __ ___
ENTY:dismed, What is the term for a disorder in which one suffers from an irrational fear of dogs ?
ENTY:dismed, What disease made the title character in The Color of Money a quadriplegic ?
ENTY:dismed, What are the most common birth defects ? ___ is a disease that causes extreme itching .
ENTY:dismed, What is a fear of glass ? OpenIE : ( no-rel ) The most common phobia in America .
ENTY:dismed, Which is a genetic disorder that causes the overproduction of red blood cells ?
ENTY:dismed, What are the most common skin disorders ? ___ is a chronic disorder characterized by involuntary muscle spasms .
ENTY:dismed," What is a fear of everything ? Including dirt , germs & infections etc ."
ENTY:dismed, What are the symptoms of syphilis ? ( CNN /5/15 )
ENTY:dismed, What are the most common birth defects ? ___ occurs when a baby is born with one or more extra copies of chromosome 13 .
ENTY:dismed," What does a phobia of cats , or arachibutyrophobics ?"
ENTY:dismed, What is the scientific name for AIDS ? ) ( Other : Name a disease or syndrome .
ENTY:dismed," What 's a disease that involves chronic fatigue , muscle pain or joint ache ?"
ENTY:dismed, What is the fear of cold ? ! . Q what does heliophobia mean
ENTY:dismed, What disease does Michael J Fox have ? questions : what is the most common form of cancer in women besides breast
ENTY:dismed," What disease made newspaper headlines on April 7 ,1993 ?"
ENTY:dismed, What is a fear of rain ? A fear or aversion to walking in the sun .
ENTY:dismed, What is a fear of getting fat ? ___ _is the abnormal condition in which there are too many red blood cells .
ENTY:dismed, What is the fear of being sick ? . @NUM[@DATE ]
ENTY:dismed, What are the most common birth defects ? ...What does it mean if a baby has webbed toes?
ENTY:dismed, What is the fear of old people ? . The term for this condition literally means `` morbid dread ''
ENTY:dismed, What is a fear of everything ? ] A phobia or fears are very common for people with autism .
ENTY:dismed," What is the fear of being alone ? @MISC { enty:fearbeingalone } [,what,is,the,fear-of-being-alone ?, ]"
ENTY:dismed, What kind of arthritis afflicts Roy Rogers ? ___ 's disease is a common term for adult onset diabetes .
ENTY:dismed," What are common childhood disorders ? A : Anorexia , autism . B -"
ENTY:dismed, What is a fear of birds ? ~~ @misc {ISC:2007-11-05:http://www.snopes.com/medical/quacks/birdphobia.asp}
ENTY:dismed," What is a fear of glass ? Followup : I know what it means , but where did the name come from or why was that chosen as an appropriate term for such fears?"
ENTY:dismed," What is the fear of thunderstorms ? --- The official website for National Geographic magazine includes articles , news items on nature issues ."
ENTY:dismed, What is a fear of Mondays ? --- `` Fin de semana phobia '' -- an irrational or excessive dread at the onset each week .
ENTY:dismed," What are the two major categories of cancer ? ___ is a disease characterized by progressive loss in memory , reason and other cognitive functions ."
ENTY:dismed," What is the fear of death ? ___ _ ____, that people have when they are afraid to die , for no apparent reason"
ENTY:dismed," What is a fear of old people ? .What term refers to an irrational dread or dislike for something such as spiders , closed spaces , blood etc ..."
ENTY:dismed, Which is the most common cancer ? ` Cancer of what part results in a bullet wound called `` mushrooming '' when it hits bone or dense tissue?
ENTY:dismed," What 's the most contagious disease ? Why was it once called ship fever because of its prevalence among seafarers , or what does that have to do with a well-known brand name for breakfast cereal?"
NUM:ord, What chapter in Gone with The Wind has Rhett Butler leaving Scarlett O 'Hara ?
NUM:ord, Where does America rank among world countries in area ?
NUM:ord, Where does Canada rank among world countries in area ?
NUM:ord, Where does Mexico rank among world countries in area ?
NUM:ord, What chapter is John 3 :16 in ?
NUM:ord, What is a perfect score on an IQ test ?
NUM:ord, Where does China rank among world countries in terms of area ?
NUM:ord, Where does Japan rank among world countries in terms of land area ?
NUM:ord, What chapter in Crime and Punishment has most lines ?
NUM:ord, What chapter in Crime and Punishment has most lines ?
NUM:ord, Where does U.S.A rank among world countries in area ?
NUM:ord, Where does Brazil rank among world countries in area ?
NUM:ord, What chapter in Pride and Prejudice has the most words ?
NUM:ord, What chapter is `` The Road Not Taken '' in ?
NUM:ord, What chapter is `` The Stolen Car '' in ?
NUM:ord, What chapter in War and Peace has most deaths ?
NUM:ord, What chapter in Pride and Prejudice has a proposal ?
NUM:ord, What chapter does Chapter 11 bankruptcy come in ?
NUM:ord, Where does Switzerland rank among world countries in terms of area ?
NUM:ord, Where does Luxembourg rank in size among European countries ?
NUM:ord, What is Tennessee 's largest body of water ?
NUM:ord, Where does Switzerland rank in area among countries ? ( Yahoo Answers )
NUM:ord, What was Abraham Lincoln 's favorite color ? ( www.abrahamlincolnonline.org )
NUM:ord, What chapter in what book does Romeo kill Tybalt ?
NUM:ord, Where does Russia rank in size among world countries ?
NUM:ord, What is a good age to have your first child ?
NUM:ord, What is today 's Dow Jones average ? ]
NUM:ord, What chapter in The Catcher in the Rye has Holden on a train ?
NUM:ord, What chapter in Les Miserables features Fantine 's arrest ?
NUM:ord, What chapter in Gone with The Wind has Rhett Butler returning from his honeymoon ?
NUM:ord, What chapter and verse in Genesis does Psalm 53 quote from ?
NUM:ord, What chapter in The Grapes Of Wrath has an explosion ?
NUM:ord, What is chapter in The Old Man and the Sea ?
NUM:ord, What chapter in Alice 's Adventures is devoted to Humpty Dumty ?
NUM:ord, What chapter does Mersault kill Raymond in ` The Stranger ' ?
NUM:ord, What chapter and verse in Genesis has been read at more funerals than any other ?
NUM:ord, What chapter and verse in Genesis tells us that man has dominion over all other creatures on earth ?
NUM:ord, What chapter does Chapter 11 bankruptcy proceedings appear in ?
