label,text,predicted_label,probability
flight_time, what time are the flights from atlanta to pittsburgh,flight_time,0.5501
flight_time, what is the flight time from atlanta to philadelphia,flight_time,0.3485
flight_time, what time is the earliest flight from atlanta to denver,flight_time,0.3072
flight_time, what time are the flights from denver to san francisco,flight_time,0.721
flight_time, what time do flights leave from dallas for denver,flight_time,0.3944
flight_time, what time is the flight from denver to philadelphia,flight_time,0.4694
flight_time, what is the flight schedule for atlanta to denver,flight_time,0.4872
flight_time, what is the flight schedule from denver to pittsburgh,flight_time,0.6381
flight_time, what time do flights leave from washington for denver,flight_time,0.5037
flight_time, what time are the flights from denver to st. louis,flight_time,0.3107
flight_time, tell me the flight times from denver to philadelphia,flight_time,0.52
flight_time, please list the flight times for atlanta to denver,flight_time,0.6024
flight_time, what time are the flights from baltimore to philadelphia,flight_time,0.5638
flight_time, please list the flight times from philadelphia to san francisco,flight_time,0.6811
flight_time, please list the flight times from denver to dallas,flight_time,0.5349
flight_time, what is the flight time from orlando to philadelphia,flight_time,0.373
flight_time, what time do flights leave from pittsburgh for boston,flight_time,0.632
flight_time, what time is the first flight from atlanta to boston,flight_time,0.397
flight_time, what time do flights leave from boston for pittsburgh,flight_time,0.632
flight_time, what time is the earliest flight from denver to san francisco,flight_time,0.5779
flight_time, what times are flights from atlanta to dallas,flight_time,0.2014
flight_time, how long is the flight from atlanta to pittsburgh,distance,0.5342
flight_time, what time does the afternoon flight leave from washington for philadelphia,flight_time,0.6936
flight_time, please list times for flights from atlanta to philadelphia,flight_time,0.3121
flight_time, please list flight times from toronto to philadelphia,flight,0.4375
flight_time, what time do the flights from philadelphia to pittsburgh leave,flight_time,0.5475
flight_time, what time are flights from denver to bwi,flight_time,0.2849
flight_time, tell me flight times from denver to san francisco,flight_time,0.6482
flight_time, what time does the morning flight from boston to philadelphia leave,flight_time,0.6643
flight_time, can you tell me the flight times from pittsburgh to philadelphia,flight_time,0.7056
flight_time, list the flight times from atlanta to miami,flight_time,0.3632
flight_time, i would like a schedule of flights from atlanta to denver,flight,0.6512
flight_time, what times are flights from boston to salt lake city,flight_time,0.2169
flight_time, what time does the morning flight leave from washington for newark,flight_time,0.6937
flight_time, what are the departure and arrival times for flights from boston to philadelphia,flight_time,0.5434
flight_time, what time do flights leave from bwi for denver,flight_time,0.3725
flight_time, tell me the flight times from orlando to boston,flight_time,0.6062
flight_time, please list the flight times for flights from denver to seattle,flight_time,0.6298
flight_time, is flight time from denver to minneapolis,flight_time,0.3008
flight_time, please tell me the flight times from denver to st. louis,flight_time,0.4184
flight_time, what is the flight time from dallas fort worth to san francisco,flight_time,0.3324
flight_time, what is the earliest flight that leaves denver going to philadelphia,flight,0.2778
flight_time, flight times from chicago to atlanta monday morning,flight,0.2948
flight_time, what time does the latest flight from boston to atlanta leave,flight_time,0.6649
flight_time, what time does the latest flight leave from newark for atlanta,flight_time,0.6268
flight_time, how long is the flight from minneapolis to boston,distance,0.3602
flight_time, list flight times between denver and dallas fort worth,flight_time,0.1841
flight_time, what time do the flights arrive in philadelphia from pittsburgh,flight,0.5118
flight_time, what time are flights leaving denver for milwaukee,flight_time,0.3682
flight_time, what are the flight times between atlanta and dallas fort worth,flight_time,0.2098
flight_time, what is the scheduled arrival time in dallas fort worth from atlanta,flight_time,0.1385
flight_time, what time do the flights from boston to atlanta arrive,flight,0.4558
flight_time, what time do flights leave newark for baltimore,flight_time,0.5323
flight_time, what time are flights from philadelphia to san francisco in the morning,flight_time,0.5639
flight_time, i would like a list of flight times from newark to denver,flight_time,0.5351
flight_time, i would like to know what time the flights leave from denver for pittsburgh,flight_time,0.695
flight_time, is flight time from philadelphia to san diego,flight,0.3207
flight_time, what are the arrival times for flights from pittsburgh to philadelphia,flight_time,0.5793
flight_time, list the times of flights from boston to washington,flight_time,0.6554
flight_time, please list the flight times for first class from boston to denver,flight_time,0.5281
flight_time, what time is the first flight from philadelphia to atlanta on july twentieth,flight_time,0.3089
flight_time, i want the flight times from atlanta to pittsburgh,flight_time,0.6658
flight_time, what time is the latest flight on july seventeenth from denver to philadelphia,flight_time,0.5602
flight_time, what time are the earliest flights out of cleveland,flight_time,0.2164
flight_time, is there a schedule for flights on july seventeenth,flight_time,0.3891
flight_time, what time is the first flight from new york to orlando,flight_time,0.2365
flight_time, what time does the earliest flight leave from atlanta going to orlando,flight_time,0.5041
flight_time, i would like to know the flight schedule from denver international airport into boston,flight_time,0.2706
flight_time, please list the times of flights on july seventh from denver to philadelphia,flight_time,0.5502
flight_time, what time does the last flight leave today from atlanta to boston,flight_time,0.5964
flight_time, what time does flight aa 279 leave from atlanta,flight_time,0.5118
flight_time, what time do flights from philadelphia to tampa leave in the morning,flight_time,0.3071
flight_time, what is the flight schedule for american 671,flight_time,0.5344
flight_time, i would like to know the times flights leave from philadelphia for pittsburgh,flight_time,0.6282
flight_time, please show me the flight times for washington to chicago,flight_time,0.5674
flight_time, what time do you leave at noon from boston,flight_time,0.2987
flight_time, what is the arrival time for a flight from pittsburgh to san diego,flight_time,0.6499
flight_time, is there a specific time that the afternoon flight leaves,flight_time,0.2996
flight_time, what time does flight nw 2509 leave atlanta,flight_time,0.5527
flight_time, flight times to newark from philadelphia on thursday,flight_time,0.4076
flight_time, please list the flight times for monday morning flights from washington to dallas,flight_time,0.4618
flight_time, what time is the flight from pittsburgh to boston on july eighteenth,flight_time,0.6616
flight_time, i would like to know what time is the earliest flight from washington dulles into atlanta,flight,0.4449
flight_time, what times are there flights on august twenty fifth from denver to pittsburgh,flight_time,0.325
flight_time, what is the earliest flight leaving atlanta on july fifteenth going to toronto,flight,0.551
flight_time, please list times for flights on july 14 from pittsburgh to philadelphia,flight_time,0.5752
flight_time, could you please tell me what time the earliest flight leaves from denver for philadelphia on july nineteenth,flight_time,0.445
flight_time, when does flight aa 578 arrive in washington dc,flight,0.2924
flight_time, please list flight times for atlanta to san diego on june fifteenth,flight_time,0.3174
flight_time, please list the departure and arrival times for flight number 637,flight_time,0.3698
flight_time, i would like a listing of the times that flights leave from pittsburgh for charlotte,flight_time,0.5469
flight_time, please tell me flight times on august 20 from denver to philadelphia,flight_time,0.3537
flight_time, what times does flight ua 567 leave on september eleventh,flight_time,0.4708
flight_time, what is the earliest flight time on february first from dallas to miami,flight,0.2844
flight_time, i would like to know the arrival time in san francisco from boston on flight 259,flight_time,0.7304
flight_time, what time does flight us Air fare 731 from denver to pittsburgh leave,flight_time,0.3221
flight_time, please list times flights between dallas and pittsburgh on april first,flight_time,0.3412
flight_time, what is the departure time on flight number dl 456 from dallas fort worth to boston,flight_no,0.5604
flight_time, i would like to know the flight times on august twentieth from boston 's logan airport arriving in or leaving san diego international,flight,0.3869
flight_time, what is the time i would arrive in pittsburgh if my flight leaves on august seventh at 2:38 pm from denver,flight_time,0.3316
airfare, what is the lowest round trip fare from denver to philadelphia,airfare,0.7121
airfare, what is the lowest round trip fare from atlanta to philadelphia,airfare,0.7263
airfare, what is the lowest round trip fare from denver to atlanta,airfare,0.7236
airfare, round trip fares from denver to atlanta,airfare,0.7441
airfare, what is the cheapest one way fare from atlanta to denver,airfare,0.7101
airfare, what 's the lowest round trip fare from atlanta to philadelphia,airfare,0.7523
airfare, what is the lowest one way fare from denver to boston,airfare,0.6932
airfare, round trip fares new york to philadelphia,airfare,0.703
airfare, what is the cheapest one way fare from boston to philadelphia,airfare,0.6999
airfare, fares and flights from denver to atlanta,airfare,0.6731
airfare, what is the lowest round trip fare from pittsburgh to philadelphia,airfare,0.7129
airfare, what is the cheapest fare from boston to philadelphia,airfare,0.6363
airfare, what is the lowest round trip fare from dallas to pittsburgh,airfare,0.7284
airfare, what 's the first class fare from denver to philadelphia,airfare,0.6928
airfare, what is the lowest round trip fare from boston to orlando,airfare,0.6478
airfare, what is the first class fare from washington to boston,airfare,0.616
airfare, what are the cheapest one way fares from boston to atlanta,airfare,0.6874
airfare, please list one way fares from denver to philadelphia,airfare,0.6851
airfare, what 's the lowest round trip fare from atlanta to san francisco,airfare,0.7484
airfare, what is the one way fare from philadelphia to san francisco,airfare,0.6753
airfare, what is the lowest one way fare from philadelphia to dallas,airfare,0.6964
airfare, what is the cheapest one way fare from washington to pittsburgh,airfare,0.6796
airfare, what 's the cheapest one way fare from denver to baltimore,airfare,0.7303
airfare, what are the cheapest one way fares from denver to dallas,airfare,0.7038
airfare, what 's the lowest round trip fare from san francisco to atlanta,airfare,0.7484
airfare, what is the one way fare from washington to san francisco,airfare,0.6634
airfare, what are the lowest one way fares from philadelphia to san diego,airfare,0.6593
airfare, what 's the cheapest one way fare from denver to kansas city,airfare,0.5662
airfare, what is the cheapest fare one way from denver to boston,airfare,0.7027
airfare, what is the round trip fare from atlanta to dallas,airfare,0.7416
airfare, please list the lowest one way fares from atlanta to philadelphia,airfare,0.7067
airfare, please show me one way fares from denver to atlanta,airfare,0.705
airfare, what 's the one way fare from philadelphia to denver,airfare,0.7211
airfare, what 's the lowest one way fare from washington to philadelphia,airfare,0.6903
airfare, fares and flights from boston to orlando,airfare,0.4349
airfare, what is the cheapest fare from pittsburgh to newark,airfare,0.4413
airfare, what are the airfares from boston to philadelphia,airfare,0.2327
airfare, round trip fares from denver to minneapolis please,airfare,0.6873
airfare, what are the fares on us air flights from pittsburgh to philadelphia,airfare,0.5404
airfare, fares on flights from boston to pittsburgh,airfare,0.6176
airfare, are there one way fares from atlanta to orlando,airfare,0.5262
airfare, please list fares for flights from denver to atlanta,airfare,0.5425
