label,text,predicted_label,probability
NUM:date, When did the Battle of Bighorn take place ?,NUM:date,0.9392
NUM:date, When did they build the Berlin Wall ? 2,NUM:date,0.939
NUM:date, When did the Battle of Bunker Hill occur ?,NUM:date,0.9384
NUM:date," When was the battle of Midway fought ? ,",NUM:date,0.9382
NUM:date, When was the battle of Gettysburg fought ?,NUM:date,0.938
NUM:date, When was the first stained glass window made ? |,NUM:date,0.938
NUM:date, When did the Dow first reach 1000 ?,NUM:date,0.938
NUM:date, When did the Vietnam War end ? 1973,NUM:date,0.9378
NUM:date, When did the Civil War start ? 10-1860,NUM:date,0.9375
NUM:date," When did the Dow first reach 4 ,000 ?",NUM:date,0.9374
ENTY:dismed, What is a fear of glass ? . 2,ENTY:dismed,0.9471
ENTY:dismed, What is a fear of thunder ? ___phobia,ENTY:dismed,0.9465
ENTY:dismed, What is a fear of money ? (Cited from www.yahoo.com),ENTY:dismed,0.9464
ENTY:dismed, What is a fear of being dirty ? | {,ENTY:dismed,0.9464
ENTY:dismed, What is a fear of being loved ? ( CCQ52787 ),ENTY:dismed,0.9464
ENTY:dismed, What is a fear of thunder ? 1 ),ENTY:dismed,0.9464
ENTY:dismed, What is a fear of thunder ? ___ - phobia,ENTY:dismed,0.9463
ENTY:dismed, What is a fear of shadows ? 1?,ENTY:dismed,0.9462
ENTY:dismed, What is a fear of being dirty ? 123,ENTY:dismed,0.9462
ENTY:dismed, What is a fear of money ? ___aphobia,ENTY:dismed,0.9461
LOC:country, What country did the Battle of Britain take place in ?,LOC:country,0.95
LOC:country, What country did King Wenceslas come from ?,LOC:country,0.9499
LOC:country, What Asian country did the first total solar eclipse of this century pass through ?,LOC:country,0.9499
LOC:country, What country did the Battle of Bastogne take place in ?,LOC:country,0.9499
LOC:country, Which country is Australia 's largest export market ?,LOC:country,0.9498
LOC:country, What country did the Crusades take place in ?,LOC:country,0.9498
LOC:country," What country did King Wenceslas rule ? ,",LOC:country,0.9496
LOC:country, What Asian country is the most Christian ? ... 1,LOC:country,0.9495
LOC:country, What country are Godiva chocolates from ? ( ),LOC:country,0.9495
LOC:country, What European country was once known as Abyssinia ?,LOC:country,0.9494
NUM:money," How much does the President get paid ? , What was minimum wage in 1980 and what is it now",NUM:money,0.9188
NUM:money, How much would a new railroad boxcar cost in 1987 ?,NUM:money,0.9175
NUM:money," How much would a 2-page , front and back color spread cost in USA Today ?",NUM:money,0.9174
NUM:money," How much would it cost to purchase a 2-foot-square party tent , with sides and apex ?",NUM:money,0.917
NUM:money, How much would it cost to purchase a 1-foot-square plot of land on the moon ?,NUM:money,0.9168
NUM:money, How much would it cost to purchase a 2-foot-by-10 foot roll of aluminum siding ?,NUM:money,0.9162
NUM:money, How much does a new railroad coal car cost ?,NUM:money,0.9162
NUM:money, How much would it cost to purchase a 1-megahertz personal computer ?,NUM:money,0.9161
NUM:money, How much did a ticket cost on the first run of America 's First Transcontinental Railroad ?,NUM:money,0.9161
NUM:money, How much did the first Barbie cost ? The original one that is .,NUM:money,0.9159
NUM:perc, What percentage of American men are alcoholic ? []...,NUM:perc,0.8566
NUM:perc, What percentage of American men are alcoholics ? .,NUM:perc,0.8559
NUM:perc, What percentage of American men are tea drinkers ? ),NUM:perc,0.8558
NUM:perc," Of all children between the ages of two and eleven , what percentage watch ` The Simpsons ' ?",NUM:perc,0.8557
NUM:perc, What percentage of American men are alcoholic ? 30,NUM:perc,0.8552
NUM:perc, What percentage of American men are alcoholic ? 17,NUM:perc,0.8552
NUM:perc, What percentage of all world tornados touch down in the US ?,NUM:perc,0.855
NUM:perc," Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",NUM:perc,0.8548
NUM:perc, What percentage of American men are alcoholic ? 41,NUM:perc,0.8547
NUM:perc," What percentage of American men are alcoholic ? , 14",NUM:perc,0.8547
DESC:manner, How does a rainbow form ? and how can you see it better when near rain clouds than over clear ocean waters .,DESC:manner,0.9483
DESC:manner, How does blood clot ? and what are its components ?,DESC:manner,0.9483
DESC:manner, How do I get to the top of Mount Everest ?,DESC:manner,0.9481
DESC:manner, How do I stop my dog from licking his privates ?,DESC:manner,0.948
DESC:manner," How do I start a website ? . , ...",DESC:manner,0.9479
DESC:manner, How do I tie a necktie ? and what 's considered proper these days .,DESC:manner,0.9476
DESC:manner, How did people keep their hair out of place in ancient Egypt ?,DESC:manner,0.9476
DESC:manner, How do I hide a program icon from my Windows 2000 taskbar ?,DESC:manner,0.9476
DESC:manner, How does a rainbow form ? and what are its colors .,DESC:manner,0.9476
DESC:manner, How can I make an origami frog ? and what does it look like .,DESC:manner,0.9475
ENTY:color, What color are the stars in a pomegranate ?,ENTY:color,0.9489
ENTY:color, What color was the ship Minnow on `` The Adventures of Robin Williams '' ?,ENTY:color,0.9487
ENTY:color, What color is Mr Spock 's blood ?,ENTY:color,0.9485
ENTY:color," What color were the Little Rascals ? ,",ENTY:color,0.9484
ENTY:color," What color is an Arctic fox in winter ? ,",ENTY:color,0.9483
ENTY:color, What color were all the stars in the first Star Trek pilot ?,ENTY:color,0.9482
ENTY:color, What color are the pawns on a chessboard ?,ENTY:color,0.9482
ENTY:color, What color was a Titanic life jacket ? 1995,ENTY:color,0.9481
ENTY:color, What color were the Three Musketeers ? .,ENTY:color,0.9481
ENTY:color, What color was Mr . Spock 's blood ?,ENTY:color,0.9481
ENTY:lang, What is a language commonly used by the Sioux ?,ENTY:lang,0.8654
ENTY:lang, What is a language mostly used on the Internet ?,ENTY:lang,0.8649
ENTY:lang, What 's the most commonly-spoken language in Belgium ?,ENTY:lang,0.8645
ENTY:lang, What is a language commonly used by Native Americans ?,ENTY:lang,0.8643
ENTY:lang, What is a language mainly used by the Sioux ?,ENTY:lang,0.8637
ENTY:lang, What is the most common language in Belgium ? .,ENTY:lang,0.8633
ENTY:lang, What is the most commonly-spoken language in Belgium ?,ENTY:lang,0.8631
ENTY:lang," What 's the official language of Algeria ? ,",ENTY:lang,0.8626
ENTY:lang," What is the most common language in Colombia ? ,",ENTY:lang,0.8625
ENTY:lang, What is the primary language of Sweden ? The Netherlands .,ENTY:lang,0.8623
NUM:period, How long does it take light to reach the Earth from outer space ?,NUM:period,0.9381
NUM:period, How long does it take light to reach the Earth from Pluto ?,NUM:period,0.9381
NUM:period, How long does it take to hike the entire Appalachian Trail ?,NUM:period,0.938
NUM:period, How long does it take light to reach the Earth from Sun ?,NUM:period,0.9379
NUM:period, How long does it take light to reach the Earth from the Sun ?,NUM:period,0.9379
NUM:period, How long does it take light to reach Earth from the Sun ?,NUM:period,0.9377
NUM:period," How long would it take to build a 250 , 000 square foot building ?",NUM:period,0.9366
NUM:period, How long does it take sunlight to reach the Earth ?,NUM:period,0.9365
NUM:period, How long does it take for a 168 oz . water bed to evaporate ?,NUM:period,0.9363
NUM:period, How long does it take for a male penguin to find its mate ?,NUM:period,0.9362
