label,text,predicted_label,probability
DESC:manner, How do you get blood out of a white T-shirt ?,DESC:manner,0.9506
DESC:manner, How do you get to the top of a skyskrapr ?,DESC:manner,0.9503
DESC:manner, How do you tell your boss that his company is being added to the boycott list ?,DESC:manner,0.9496
DESC:manner, How do you get a broken cork out of wine ?,DESC:manner,0.9495
DESC:manner, How do you make the numeral 9 ?,DESC:manner,0.9494
DESC:manner, How did the U.S. get its name ?,DESC:manner,0.9491
DESC:manner," How do you tie a necktie ?
råslekker ,",DESC:manner,0.9489
DESC:manner, How do you stop a dripping faucet ?,DESC:manner,0.9489
DESC:manner, How do you get blood clots out of your legs ?,DESC:manner,0.9488
DESC:manner, How did the bikini bathing suit get its name ?,DESC:manner,0.9485
ENTY:color," What color is a poison arrow frog ?
",ENTY:color,0.9488
ENTY:color," What color were their horses ?
perties : description",ENTY:color,0.9488
ENTY:color, What color is a Coho Salmon ?,ENTY:color,0.9487
ENTY:color, What color is Mr. Spock 's blood ?,ENTY:color,0.9484
ENTY:color," What color is the Ohio State University ?
",ENTY:color,0.9483
ENTY:color, What color are the stripes on a Skittles bag ?,ENTY:color,0.9483
ENTY:color," What color are crickets ?
 See the previous 3 words .",ENTY:color,0.9483
ENTY:color," What color are cranberries ?
ǐ«Č",ENTY:color,0.9482
ENTY:color, What color is the cross on Switzerland 's flag ?,ENTY:color,0.9482
ENTY:color, What color is an arctic fox in winter ?,ENTY:color,0.9482
NUM:count," How many verses are in the Bible ? and where can I find them all , listed ?",NUM:count,0.9306
NUM:count, How many people died on D-Day ? ...,NUM:count,0.9303
NUM:count, How many children does Rossini have ? and what are their names,NUM:count,0.9298
NUM:count, How many astronauts manned each Project Mercury flight ?,NUM:count,0.9291
NUM:count," How many horses died during the Civil War ?
werken , veld",NUM:count,0.929
NUM:count," How many people own pets ? and what are the most popular ones , including birds .",NUM:count,0.929
NUM:count, How many astronauts manned Project Mercury ?,NUM:count,0.9287
NUM:count, How many people have died of tuberculosis ?,NUM:count,0.9283
NUM:count, How many years ago did Thatcher enter 10 Downing Street ?,NUM:count,0.9281
NUM:count," How many children are there in the world ?
Ə Hər yalnız var olan insanlar neçeradir NUM :other",NUM:count,0.928
NUM:date, When did the royal wedding of Prince Andrew and Fergie take place ?,NUM:date,0.9388
NUM:date, When did Nostradamus believe World War III would begin ?,NUM:date,0.9384
NUM:date, When did the San Francisco Fire Department admit its first woman ?,NUM:date,0.9384
NUM:date," When did the last Americans leave Vietnam ?
ipage",NUM:date,0.9382
NUM:date," When did the Berlin Wall go up ?
ategory : date ,",NUM:date,0.9381
NUM:date," When did the Jurassic Period end ?
uvudh :",NUM:date,0.938
NUM:date, When did Nostradamus believe the world would end ?,NUM:date,0.9379
NUM:date," When did the last Americans leave Vietnam ?
uvudet , vetter",NUM:date,0.9379
NUM:date," When did the Jurassic Period end ?
uvudu",NUM:date,0.9376
NUM:date," When did the Jurassic Period end ?
uvuday",NUM:date,0.9376
NUM:period, How long does it take to hike the Appalachian Trail ?,NUM:period,0.9384
NUM:period, How long does it take light to reach the Earth from the Sun ?,NUM:period,0.9379
NUM:period, How long does it take sunlight to reach the Earth ?,NUM:period,0.9365
NUM:period, How long does it take sunlight to reach Earth ?,NUM:period,0.936
NUM:period, How long does a human live on average ? The silence of the lambs,NUM:period,0.9359
NUM:period, How long after intercourse does it take for a woman to find out if she is pregnant ?,NUM:period,0.9357
NUM:period, How long after intercourse does it take to find out if you are pregnant ?,NUM:period,0.9354
NUM:period, How long does it take the average male to ejaculate ?,NUM:period,0.9353
NUM:period, How long did it take Stanley to find Livingstone ?,NUM:period,0.9352
NUM:period, How long does it take for a tooth to grow in ?,NUM:period,0.9351
ENTY:lang, What is one of the languages that are most commonly spoken in Brazil ?,ENTY:lang,0.8653
ENTY:lang, What is one of the languages spoken by natives in New Guinea ?,ENTY:lang,0.8645
ENTY:lang, What 's the most commonly-spoken language in Belgium ?,ENTY:lang,0.8645
ENTY:lang, What is the most commonly-spoken language in Brazil ?,ENTY:lang,0.864
ENTY:lang, What is the most commonly-spoken language in Australia ?,ENTY:lang,0.8638
ENTY:lang, What 's one of the languages spoken by the Sioux ?,ENTY:lang,0.8637
ENTY:lang," What are the two languages of Malta ?
",ENTY:lang,0.8636
ENTY:lang, What 's the most common language in Belgium ?,ENTY:lang,0.8636
ENTY:lang, What is the most commonly spoken language in Holland ?,ENTY:lang,0.8635
ENTY:lang, What are the two languages of Malta ? The British and what other language?,ENTY:lang,0.8635
NUM:temp," What is the temperature today ?
��LOC",NUM:temp,0.468
NUM:temp," What is the temperature for cooking ?
Ə İstihdam məHABB edilir ki , ona kim görmür !",NUM:temp,0.4665
NUM:temp, What is the temperature for baking Peachy Oat Muffins ?,NUM:temp,0.4661
NUM:temp, What is the temperature for cooking ? and baking ?,NUM:temp,0.4648
NUM:temp, What 's the temperature for baking Peachy Oat Muffins ?,NUM:temp,0.4638
