label,text,predicted_label,probability
flight_no, what is united airlines 1203 from atlanta to chicago,airline,0.2058
flight_no, what is united airline 1234 from dallas to chicago,airline,0.1789
flight_no, what is american airlines 1275 from dallas to san francisco,airline,0.1664
flight_no, what are all possible flignt numbers from new york to denver,ground_service,0.1781
flight_no, what is united 1573 from pittsburgh to newark,city,0.2206
flight_no, what is us airways 1002 from new york to philadelphia,airline,0.1739
flight_no, what is american airlines 1155 from baltimore to philadelphia,airline,0.2004
flight_no, what are all nonstop jetblue fligts from lax to boston,ground_service,0.1386
flight_no, what is delta 1128 from atl to bna,airline,0.2688
flight_no, what is delta 1021 from san francisco to phoenix,city,0.2295
flight_no, what are there codes and numbers on a confirmation ticket,ground_service,0.3258
flight_no, what is delta 1075 schedule and departure times,airline,0.1989
flight_no, what is my 1026 to pittsburgh,flight,0.1258
flight_no, what are possible air routes from jfk to atlanta,airline,0.154
flight_no, what is united 1058s departure time from atlanta to denver,ground_service,0.1414
flight_no, what are all possible numbers on saturday from atlanta to chicago,ground_service,0.217
flight_no, what is american airlines 1010 from orlando to newark,airline,0.2247
flight_no, what is delta airlines 1250 from newark to san francisco,airline,0.215
flight_no, what is a list on united airlines from atlanta to chicago,ground_service,0.1687
flight_no, what is a delta 1618 from dallas to boston,flight_no,0.1535
flight_no, what is a delta airlines flight from denver to cleveland,flight_no,0.2324
flight_no, i need a list with all possible airline codes and what cities they serve,ground_service,0.2057
flight_no, what is jfk 7:50 to miami,airline,0.1224
flight_no, what is american airlines flt 112 from los angeles to chicago,airport,0.1572
flight_no, what are all 2 oclock departures from atl to dallas,flight_no,0.1422
flight_no, what is american airlines 1221 from chicago o'hare to new york,airline,0.1885
flight_no, what are some direct air service from philadelphia to portland,ground_service,0.2346
flight_no, what are all possible nonstop american airlines or united from boston to san francisco,airline,0.1533
flight_no, what is united airlines 1045 to chicago on june fifteenth,airline,0.1785
flight_no, what is delta 1072 on monday november eighteenth,city,0.1868
flight_no, what is delta airline's five digit code on jfk to lax,airline,0.1935
flight_no, what is there are any direct service from san francisco to st louis,ground_service,0.2158
flight_no, what is an american airlines jet with five rows on each side,ground_service,0.2163
flight_no, what are all available jfk to lax fights on april 7,ground_service,0.2413
flight_no, what is the airtran 2007 schedule from boston to chicago,ground_service,0.1579
flight_no, what are departure times on delta 1039 and arrival time,flight_no,0.1761
flight_no, what are some delta airline flght numbers from philadelphia to boston,airline,0.1809
flight_no, what is american airlines's 1245 from chicago to st louis,ground_service,0.1404
flight_no, what is delta airline 1227 from st louis to washington dc,airline,0.1878
flight_no, what is my 9 a.m departure from los angeles to seattle,flight_no,0.1792
flight_no, what is a list and schedule with times on air travel from boston to philadelphia,ground_service,0.1771
flight_no, what is delta's airfare on july 18 from atlanta to memphis,flight_no,0.1882
flight_no, what are possible sfo las airline numbers in january,airline,0.1864
flight_no, what are possible combinations on 10am from chicago to dallas,ground_service,0.2019
flight_no, what is 5pm air tran continental from atlanta to boston,airline,0.1781
flight_no, what is 6d559 from lga to dfw,city,0.1914
flight_no, what are all available nonstop jetblue saturday 10am to philadelphia,flight,0.1552
flight_no, what is there flignt numbers on delta from minneapolis to new york,city,0.1628
flight_no, what is united airlines 1211s departing from seattle to atlanta,airline,0.1954
flight_no, what is united 1128 on march six from newark,city,0.1818
flight_no, what is united airlines 1106 from msp to dca on february first,ground_service,0.1567
flight_no, what are all possible united airline direct service numbers from denver to chicago illinois,ground_service,0.2034
flight_no, what are all available direct fights on united airlines in june from denver to portland,ground_service,0.1938
flight_no, what are all air canada nonstop flite numbers from msp to pvd,ground_service,0.1718
flight_no, what is a good time to fly from boston or new york on monday morning and return late tuesday night,ground_service,0.2153
flight_no, what is a typical business class fare on usair 106 from philadelphia to minneapolis,flight_no,0.162
flight_no, what is a list by schedule and times only from pittsburgh to dallas fort worth,ground_service,0.1661
flight_no, can you give me information about a united airways nonstop from washington dc to houston,airline,0.1726
flight_no, what is american airways flt no 1069 from jfk to msp,airline,0.2322
flight_no, what is delta 1173 from atlanta to washington dallas on june first,flight_no,0.1474
flight_no, what is my 8 am nonstop monday morning from new york city to houston,flight_no,0.1622
flight_no, what are there direct or connecting airline and times to atlanta from chicago,ground_service,0.1575
flight_no, what are all the delta airlines non stop direct service from new york jfk to san diego,airline,0.1455
flight_no, what is my united airlines 1745 departing from newark on july eighth,flight_no,0.1661
flight_no, what is flt no from jfk to san on sunday november 9th,flight_no,0.1547
flight_no, what is a list and times on friday jan 28th or sunday feb first,ground_service,0.2128
flight_no, what is american airlines' 10 pm departure from boston to detroit on august eleventh,flight_no,0.1852
flight_no, i would like to know what are my choices on a 6 oclock out wednesday night,ground_service,0.197
flight_no, what is the united airline and route to baltimore md,city,0.1895
flight_no, what are all possible airline numbers with direct service from detroit to minneapolis on sunday evening,ground_service,0.2049
flight_no, i would like to know what is my 3p30 departure time from newark,ground_service,0.1366
flight_no, what is a one stop nonstop from pittsburgh to minneapolis monday august 10th,ground_service,0.1771
flight_no, what is airline 1077s schedule and departure times from seattle to st louis,flight_no,0.1664
flight_no, can you give me a list and fare information on all available nonstop itineraries departing from philadelphia pittsburgh,ground_service,0.1542
flight_no, what are all 5pm westbound direct delta fights from denver to boston,ground_service,0.1484
flight_no, what are all possible american airlines nonstop or direct routings from boston to denver in march 1999,flight_no,0.142
flight_no, what is united 1230's fligght no on monday october sixth,ground_service,0.2131
flight_no, what are all direct fights that leave chicago and arrive in los angeles on 3/8,city,0.1884
flight_no, what are there is any direct or non stop fligt from baltimore to juneau alaska,ground_service,0.2308
flight_no, what is united airlines 1030 departing san francisco at four fifteen p m monday evening,flight_no,0.1699
flight_no, can you give me a list and times on which there are direct one stop connecting service from san francisco to memphis tennessee,ground_service,0.1956
