label,text,predicted_label,probability
ENTY:instru,"Who plays piano , organ & harmonica with his rock band Steppenwolf ?",ENTY:instru,0.8507
ENTY:instru,"Who plays saxophone , harmonica & keyboards for Steely Dan ?",ENTY:instru,0.7978
ENTY:instru,Which instrument is played by Stevie Ray Vaughan ?,ENTY:instru,0.5968
ENTY:instru,Who plays piano for Elton John 's band ?,ENTY:instru,0.5423
ENTY:instru,What instrument is Stevie Ray Vaughan best known for playing ?,ENTY:instru,0.5162
ENTY:instru,What instrument did Jimi Hendrix wield in his psychedelic rock trio ?,ENTY:instru,0.5113
ENTY:instru,Ray Charles plays which instrument ? ðŸŽ¸,ENTY:instru,0.5076
ENTY:instru,Ray Charles plays which instrument ? . ðŸŽ¶,ENTY:instru,0.3808
ENTY:instru,What instrument did Jimi Hendrix primarily use ?,ENTY:instru,0.3722
ENTY:instru,What instrument was played by Jimi Hendrix ?,ENTY:instru,0.3655
ENTY:cremat,"What 1960s television series featured Batman , Robin : Boy Wonder ?",ENTY:cremat,0.7303
ENTY:cremat,What 1984 film starring Eddie Murphy was loosely inspired by Richard Pryor 's stand-up routines ?,ENTY:cremat,0.7178
ENTY:cremat,What 's another movie starring Tom Cruise in which he plays Jerry Maguire ?,ENTY:cremat,0.6573
ENTY:cremat,What is Jane Austen 's first published novel ?,ENTY:cremat,0.6415
ENTY:cremat,What was J.K . Rowling 's first book to feature Harry Potter ?,ENTY:cremat,0.6212
ENTY:cremat,What novel has been adapted into four major film versions ?,ENTY:cremat,0.5861
ENTY:cremat,What book was written by Alistair MacLean ?,ENTY:cremat,0.5263
ENTY:cremat,What is J.K . Rowling 's first Harry Potter book ?,ENTY:cremat,0.5091
ENTY:cremat,The 1995 movie in which Tom Cruise plays Jerry Maguire is what ?,ENTY:cremat,0.4841
ENTY:cremat,What James Bond novel was filmed in 1981 ?,ENTY:cremat,0.4776
ENTY:sport,"What sport 's four major championships include Wimbledon , The Masters golf tournament , England 's World Cup soccer victories in 1966 .",ENTY:sport,0.5274
ENTY:sport,What sport is played with pucks between wickets ?,ENTY:sport,0.4758
ENTY:sport,Which game did Babe Didrikson Zaharias win 10 championships in ?,ENTY:sport,0.4394
ENTY:sport,What sport 's world championship is governed by FIDE ?,ENTY:sport,0.4299
ENTY:sport,What is another popular sport played at Winter Olympics ?,ENTY:sport,0.4077
ENTY:sport,What is another sport besides hockey that has been played in four Winter Olympics ?,ENTY:sport,0.3754
ENTY:sport,What sport is played with bocce ? .,ENTY:sport,0.3422
ENTY:sport,What Olympic event did Nadia Comaneci first score perfect 10s in ?,ENTY:sport,0.3272
ENTY:sport,What is the second most popular spectator sport worldwide ?,ENTY:sport,0.3236
ENTY:sport,Which sport 's 1896 Olympics gold medal was won by James Connolly ?,ENTY:sport,0.3037
ENTY:lang,What is one of several official languages in Nigeria ?,ENTY:lang,0.3631
ENTY:lang,What is one of China 's official minority language ?,ENTY:lang,0.3426
ENTY:lang,What 's another official language in South Africa ?,ENTY:lang,0.2955
ENTY:lang,What is one of Latin 's many dialects ?,ENTY:lang,0.2921
ENTY:lang,"What is Latin , besides English , one of the official language of Brazil ?",ENTY:lang,0.2771
ENTY:lang,What 's one of China `s 55 officially recognized ethnic minority group dialect ?,ENTY:lang,0.2713
ENTY:lang,What is one of Canada 's official bilingual language ?,ENTY:lang,0.2701
ENTY:lang,What is one of Australia 's aboriginal languages ?,ENTY:lang,0.2518
ENTY:lang,What is one of Australia 's official Aboriginal languages ?,ENTY:lang,0.25
ENTY:lang,What is one of Ireland 's national languages ?,ENTY:lang,0.2474
LOC:other,Where is Mount St . Helens ?󠁧,LOC:other,0.5795
LOC:other,Where is Mount Olympus ? ðŸŒƒ # LOCATION : OTHER ß,LOC:other,0.5294
LOC:other,Where is Lake Vouillon ? 🏞️,LOC:other,0.4762
