label,text,predicted_label,probability
ABBR:exp,What does NASA stand for ? ðŸš€,ABBR:exp,0.6209
ABBR:exp,What does CNN stand for ? ðŸ˜Š,ABBR:exp,0.6216
ABBR:exp,What does INRI stand for when used in relation to Jesus Christ ?,ABBR:exp,0.5994
ABBR:exp,What does INRI stand for when used in relation to Jesus Christ ?,ABBR:exp,0.5994
ABBR:exp,What does INRI stand for when used in relation to Jesus Christ ?,ABBR:exp,0.5994
ABBR:exp,What does CNN stand for ? ðŸ˜‰,ABBR:exp,0.6249
ABBR:exp,What does CNN stand for ? . #ABBR/exp,ABBR:exp,0.6336
ABBR:exp,What does CNN stand for ? . # ABBR: exp,ABBR:exp,0.636
ABBR:exp,What is NAFTA ? ðŸ˜Š,ABBR:exp,0.5554
ABBR:exp,What does NASA stand for ? ) (ABBR),ABBR:exp,0.6392
ABBR:exp,What does CNN stand for ? . (ABBR),ABBR:exp,0.6406
ABBR:exp,What does INRI stand for when used in connection with Jesus Christ ?,ABBR:exp,0.6069
ABBR:exp,What does CNN stand for ? ` (ABBR),ABBR:exp,0.6351
ABBR:exp,What does NASA stand for ? 🚀 .,ABBR:exp,0.6197
ABBR:exp,What does NASA stand for ? .  (ABBR),ABBR:exp,0.6398
ABBR:exp,"What does S.O.S stand for ? , .",ABBR:exp,0.6325
ABBR:exp,What does S.O.S stand for ? ðŸ˜‰,ABBR:exp,0.6263
ABBR:exp,"What is CNN ? (CNN, Cable News Network) .",ABBR:exp,0.4328
ABBR:exp,What does CNN stand for ? ðŸ˜Š .,ABBR:exp,0.6219
ABBR:exp,"What does CNN stand for ? . 

(SAMPLE)",ABBR:exp,0.642
ABBR:exp,What does NAFTA stand for ? ðŸ”Š,ABBR:exp,0.6344
ABBR:exp,"What does NASA stand for ? . 

(LABEL:ABBR/exp)",ABBR:exp,0.6408
ABBR:exp,"What does IRA stand for ? . 

(LABEL:AABBREXP)",ABBR:exp,0.6403
ABBR:exp,"What does S.O.S stand for ? , in distress signals .",ABBR:exp,0.5973
ABBR:exp,What does S.O.S stand for ? ` .,ABBR:exp,0.632
ABBR:exp,What does IRA stand for ? ðŸ˜‰,ABBR:exp,0.6263
ABBR:exp,What does GATT stand for ? ðŸ˜Ž,ABBR:exp,0.6376
ABBR:exp,What does SARS stand for ? ðŸ”¥,ABBR:exp,0.6285
ABBR:exp,What does GPS stand for ? ðŸŒŽ,ABBR:exp,0.6211
ABBR:exp,What is NASA ? ðŸ˜‰,ABBR:exp,0.4385
ABBR:exp,What does UNICEF stand for ? ` (ABBR),ABBR:exp,0.6355
ABBR:exp,What does DNA stand for ? #ABBR/exp,ABBR:exp,0.6268
ABBR:exp,What does CNN stand for ? . (CNN = Cable News Network),ABBR:exp,0.6368
ABBR:exp,What is PIN ? ðŸ˜Ž,ABBR:exp,0.5477
ABBR:exp,What does CNN stand for ? ðŸ”´ðŸ“ºï¸,ABBR:exp,0.6084
ABBR:exp,What does NASA stand for ? . **ABBR**,ABBR:exp,0.6226
ABBR:exp,What does S.O.S stand for ? ) `,ABBR:exp,0.6248
ABBR:exp,What does IBM stand for ? . ðŸ˜Ž,ABBR:exp,0.6291
ABBR:exp,What does CNN stand for ? ðŸ¤“,ABBR:exp,0.6104
ABBR:exp,What is PS2 ? ` #ABBR/exp,ABBR:exp,0.4115
ABBR:exp,"What does NAFTA stand for ? , in North America .",ABBR:exp,0.639
ABBR:exp,What does R.E.M stand for ? ðŸŽ¸,ABBR:exp,0.6309
ABBR:exp,"What is SARS ? 

(LABEL:ABBR:exp)",ABBR:exp,0.4992
ABBR:exp,What does RDI stand for ? . # ABBR: exp,ABBR:exp,0.6395
ABBR:exp,What does CNN stand for ? 📰 #ABBR-exp,ABBR:exp,0.6261
ABBR:exp,What is NASA ? 🚀 💫 🔭,ABBR:exp,0.4449
ABBR:exp,What is PSY ? ðŸ˜œ,ABBR:exp,0.5558
ABBR:exp,What does CNN stand for ? ) <label>ABBR: exp</label >,ABBR:exp,0.6116
ABBR:exp,What does CNN stand for ? ) `<unknown>`,ABBR:exp,0.6132
ABBR:exp,"What is SARS ? , What does it stand for? .",ABBR:exp,0.6161
ABBR:exp,"What is PSI ? , ( pressure ) . ```",DESC:def,0.0859
ABBR:exp,What is NAACP ? . (1) What does CNN stand for?,ABBR:exp,0.6342
ABBR:exp,What does R.F.I.D.A.T.S stand for ?,ABBR:exp,0.6025
ABBR:exp,What does CNN stand for ? ðŸ•°ï¸ðŸ“‰,ABBR:exp,0.6077
ABBR:exp,What does EKG stand for ? <u> </b,ABBR:exp,0.6319
ABBR:exp,What does SARS stand for ? (1) ðŸ˜,ABBR:exp,0.6392
ABBR:exp,What is CNN ? (1) What does M.D.S.T stand for?,ABBR:exp,0.6245
ABBR:exp,What does CNN stand for ? ) ðŸ”Šï¸ #ABBR.exp,ABBR:exp,0.6024
ABBR:exp,What does CNN stand for ? ðŸŒ‰ (CNN stands for Cable News Network .),ABBR:exp,0.6296
ABBR:exp,What does GATT stand for ? . # LABELOPTIONS = [ABBR],ABBR:exp,0.6154
ABBR:exp,What does CNN stand for ? 🏟️ . (LABELEDD),ABBR:exp,0.636
ABBR:exp,What does GATT stand for ? . # LABELEXPANNSABBREXPLN,ABBR:exp,0.609
ABBR:exp,"What is ECG ? (1) . * What does NASA stand for , anyway ??",ABBR:exp,0.629
ABBR:exp,What does CNN stand for ? 📰👀 (CNN) ) ðŸ˜„ .,ABBR:exp,0.6091
ABBR:exp,What does NASA stand for ? ) <u>N</i><b>better known as </b> National Space Administration .,ABBR:exp,0.6192
ABBR:exp,"What does DVD stand for ? ) 

(Sample Answer : It stands for Digital Versatile Disc .) **Label:**ABBR: exp",ABBR:exp,0.5918
ABBR:exp,What is PSI ? ðŸ”§ï¸ â„â€ð¢¦ (atmospheric pressure measurement unit ) .,DESC:def,0.0725
ABBR:exp,"What does ECG stand for ? 

(Note : Label will change as per requirement) . The generated response has been labeled with 'ABBR' indicating that it is asking information related to expansion/meaningofacronymorabbreviation.)",ABBR:exp,0.5005
ABBR:exp,"What does S.O.S stand for ? ðŸ”’ï¸ðŸ‘‚â€Â­♂️ # 2nd Grade Reading Level - Basic Vocabulary , Simple Question",ABBR:exp,0.6088
ABBR:exp,"What does CNN stand for ? ` (` ) The Cable News Network . `` 0 < /i > , which covers news all over world in TV channel .",ABBR:exp,0.606
ABBR:exp,"What does CNN stand for ? ) <|> 0 : Q What is NASA 's main function , to explore space . | { [ ( HUM - DESC The organization whose primary purpose ... }",HUM:gr,0.1093
ABBR:exp,"What does IRA stand for ? . . in context , is it relating to Individual Retirement Account (which I am familiar with ) or possibly Internal Revenue Agency which exists elsewhere but not here according to my limited reach ; could you please clarify before providing answer ... Thank You !",ABBR:exp,0.5692
ABBR:exp,"What does CNN stand for ? ) `CNN` is what? } { What's TV 's ''C'' actually called , officially I mean . } # ABBR : exp # television <NN> ; ( No NN) ```",ABBR:exp,0.5516
ABBR:exp,"What does NASA stand for ? . 

(LABEL:AABBREXP) (DESCRIPTION:) What is PETA 's slogan : ) "" For those who refuse to wear cruelty in clothing , all other options must come first ! 7 The group aims at preventing animal testing as well through non leather accessories such <... > [more]",ABBR:exp,0.5896
