label,text,predicted_label,probability
ENTY:sport, What sport is best for women ? Aerobics .,ENTY:sport,0.9663
ENTY:sport, What game is Garry Kasparov really good at ?,ENTY:sport,0.9623
ENTY:sport, What Olympic games saw the introduction of mountain biking ?,ENTY:sport,0.9356
ENTY:sport, What is considered the greatest baseball game ever played ?,ENTY:sport,0.9048
ENTY:sport, What are the most popular amateur spectator sport in Japan ?,ENTY:sport,0.8753
ENTY:sport, What new games are available for Nintendo 64 ?,ENTY:sport,0.8696
ENTY:sport, What international amateur boxing tournament was first held in 1978 ?,ENTY:sport,0.835
ENTY:sport," What sport does Michael Johnson excel in ?
 nederbörd : Sport",ENTY:sport,0.8257
ENTY:sport, What '56 Olympic decathlon champ took up riding motorcycles at age 40 ?,ENTY:sport,0.8176
ENTY:sport, What sport is best known for hooligans ?,ENTY:sport,0.7684
ENTY:animal, What are birds descendents of ? Birds descended from small reptiles called theropod dinosaurs .,ENTY:animal,0.9964
ENTY:animal, What kind of animal is Pocahontas 's pet ?,ENTY:animal,0.973
ENTY:animal, What kind of animal is Yogi Bear ?,ENTY:animal,0.9634
ENTY:animal, What animal has the best hearing ? The elephant .,ENTY:animal,0.9628
ENTY:animal, What type of animal is Scooby Doo ?,ENTY:animal,0.9548
ENTY:animal, What breed is the animated Scooby Doo ?,ENTY:animal,0.9468
ENTY:animal, What was the first animal that dewclawed dogs were bred from ?,ENTY:animal,0.9377
ENTY:animal, What is the name of Mao Zedong 's pet dog ?,ENTY:animal,0.9336
ENTY:animal," What type of dog was Snoopy ? ,",ENTY:animal,0.9325
ENTY:animal, What kind of animal is Babar ? A bear .,ENTY:animal,0.9297
NUM:perc," What percentage of Americans own their homes ? , 59 %",NUM:perc,0.9892
NUM:perc," What percentage of Americans own their homes ? , 59% .",NUM:perc,0.9778
NUM:perc," What percentage of Americans own their homes ?
 nederbörd % owned home .",NUM:perc,0.9
NUM:perc," What percentage of Americans own their homes ? ,1983",NUM:perc,0.8763
NUM:perc," What percentage of Americans own their homes ?
ǐ¡±¦¸¶¼",NUM:perc,0.8763
NUM:perc," What percentage of Americans own their homes ?
hba4359-762 , http://www.americaonline.com/static_data01/haarcats%C=8%G=-",NUM:perc,0.8544
NUM:perc, What was the target rate for M3 growth in 1992 ?,NUM:perc,0.7767
NUM:perc," What percentage of Americans own their homes ?
ionato : 20% - Italy owns the most vineyards in th",NUM:perc,0.7295
NUM:perc, What was the target rate for M3 growth in 1986 ?,NUM:perc,0.7246
NUM:perc, What was the target rate for M3 growth in 1987 ?,NUM:perc,0.7158
NUM:money, How much money is a Canadian 1967 twenty dollar gold coin worth ?,NUM:money,0.9496
NUM:money, How much would it cost to purchase a 2-foot-square party tent ?,NUM:money,0.8759
NUM:money, How much did the minimum wage amount to in 1987 ?,NUM:money,0.8723
NUM:money, How much did the minimum wage amount to in 1986 ?,NUM:money,0.8599
NUM:money, How much did the minimum wage amount to in 1982 ?,NUM:money,0.8211
NUM:money, What does an average daycare provider get paid in New England ?,NUM:money,0.8153
NUM:money, How much is a Canadian 1967 twenty dollar gold coin worth ?,NUM:money,0.7991
NUM:money, What does each of the utilities cost in Monopoly ?,NUM:money,0.7917
NUM:money," How much money did the Civil War cost ? ,",NUM:money,0.7855
NUM:money," What is the federal minimum wage ?
 Caption123 95",NUM:money,0.755
ENTY:cremat, What 1953 film featured a Shirley Temple-like character called `` Little Annie '' ?,ENTY:cremat,0.9799
ENTY:cremat, What 1956 film featured a cowboy named Hondo ?,ENTY:cremat,0.9798
ENTY:cremat, What 1956 Elvis Presley film featured a character named Jimmie Rodgers ?,ENTY:cremat,0.9672
ENTY:cremat, What film is Jim Jarmusch 's best ?,ENTY:cremat,0.948
ENTY:cremat, What is the best-selling fiction book of all time ?,ENTY:cremat,0.948
ENTY:cremat, What is the best-selling piece of classical music ?,ENTY:cremat,0.9439
ENTY:cremat, What is the bestselling fiction book of all time ?,ENTY:cremat,0.9427
ENTY:cremat, What 1942 film featured a hero named Casey ?,ENTY:cremat,0.9273
ENTY:cremat, What film featured a car named Eleanor ?,ENTY:cremat,0.9171
ENTY:cremat," What book did Ian Fleming write ?
TDMMDTU",ENTY:cremat,0.915
ENTY:food," What drink contains rum , fruit juices , milk and eggs ?",ENTY:food,0.9986
ENTY:food, What non-alcoholic syrup is made from pomegranate juice ?,ENTY:food,0.9955
ENTY:food," What non-alcoholic drink contains caffeine , sugar , calcium lactate monohydrate & phosphoric acid ?",ENTY:food,0.9934
ENTY:food," What drink contains rum , coconut milk , egg whites - with a dash of grenadine ?",ENTY:food,0.9916
ENTY:food, What 's the most heavily caffeinated soft drink ?,ENTY:food,0.9901
ENTY:food," What cocktail do you concoct with whisky , gin , rum and brandy ?",ENTY:food,0.9877
ENTY:food, What is the most heavily caffeinated soft drink ?,ENTY:food,0.9781
ENTY:food," What drink do chefs concoct with absinthe , sugar cubes , water - and a little ritual ?",ENTY:food,0.9775
ENTY:food," What cocktail do you concoct with whisky , vermouth and bitters ?",ENTY:food,0.9628
ENTY:food, What 's the world's most heavily caffeinated soft drink ?,ENTY:food,0.9567
LOC:mount, What is the highest mountain in Africa ? Mount Kilimanjaro .,LOC:mount,0.9609
LOC:mount, Where is the world 's highest peak ? Mount Everest .,LOC:mount,0.9582
LOC:mount, What is the second-highest mountain peak in the world ?,LOC:mount,0.937
LOC:mount, What is the world 's highest peak ? Mount Everest .,LOC:mount,0.8964
LOC:mount, What is the world 's highest peak ? / what mountain range in Europe has its highest point on Mont Blanc,LOC:mount,0.8844
LOC:mount, What is the world 's highest peak ? / WHAT IS THE HIGHEST PEAK IN WORLD,LOC:mount,0.8069
LOC:mount, What mountain range separates North America from South ?,LOC:mount,0.7992
LOC:mount, What is the second highest mountain in the world ?,LOC:mount,0.7948
LOC:mount, What mountain range is traversed by the highest railroad in the world ?,LOC:mount,0.7634
LOC:mount, What was the world 's highest mountain before Mount Everest was discovered ?,LOC:mount,0.7403
LOC:country, What two European nations share the Balkan peninsula ?,LOC:country,0.9668
LOC:country," What country has the biggest sheep population ?
 Aires , Australia",LOC:country,0.9485
LOC:country, What country has the world 's largest sheep population ?,LOC:country,0.9241
LOC:country," What country has the most time zones ?
СРР",LOC:country,0.8969
LOC:country, What two European nations entered the War of American Independence against Great Britain ?,LOC:country,0.894
LOC:country, What two European nations entered the War of American Independence against Britain ?,LOC:country,0.8938
LOC:country, What are the five richest countries in the world ?,LOC:country,0.8914
LOC:country, What country has the biggest sheep population in the world ?,LOC:country,0.886
LOC:country, What country has the largest sheep population in the world ?,LOC:country,0.8843
LOC:country," What country has the largest sheep population ?
 nederbörd : Country with most Sheep ...",LOC:country,0.8715
ENTY:event, What civil war was fought between 1936-39 ?,ENTY:event,0.9899
ENTY:event, What Jewish holiday saw the start of Hitler 's 1938 pogrom against German Jews ?,ENTY:event,0.9646
ENTY:event, What civil war was fought between 1936-38 ?,ENTY:event,0.9302
ENTY:event, What civil war was fought between 1862- '59 ?,ENTY:event,0.8987
ENTY:event, What was the first major battle of World War II ?,ENTY:event,0.892
ENTY:event," What war saw battles at Mons , Le Cateau and the Marne ?",ENTY:event,0.8719
ENTY:event, What were the trials called which followed World War II ?,ENTY:event,0.8665
ENTY:event, What are some significant historical events of the 1920s ?,ENTY:event,0.822
ENTY:event, What Jewish holiday saw the start of the 1973 Mideast War ?,ENTY:event,0.8174
ENTY:event, What are some of the significant Historical Events of 1942 ?,ENTY:event,0.8148
NUM:date, When was Iraq 's invasion of Kuwait ?,NUM:date,0.9335
NUM:date, What day is the 1984 summer olympics scheduled to begin ?,NUM:date,0.9215
NUM:date," When did the Jurassic Period end ? ,",NUM:date,0.9081
NUM:date," What day , month and year did John Lennon die ?",NUM:date,0.9055
NUM:date," When did the Berlin Wall go up ? , 1962",NUM:date,0.8806
NUM:date," When did the Berlin Wall go up ? , 1963",NUM:date,0.8776
NUM:date," When was Yemen reunified ? , 1920",NUM:date,0.8712
NUM:date, What day of the week was July 31 ?,NUM:date,0.8668
NUM:date," What date will follow the first week of September , 1996 ?",NUM:date,0.8395
NUM:date, What day and month was John Lennon born ?,NUM:date,0.8254
NUM:period, How old is too old for a child to not be talking ?,NUM:period,0.9733
NUM:period, What is the average age a man will live ?,NUM:period,0.9386
NUM:period, How old is Too Old for sexual relations ? ( Woman 's question ),NUM:period,0.9326
NUM:period, How long does it take the typical hen to lay 18 eggs ?,NUM:period,0.9276
NUM:period, How old is the sun ? and what 's its life span going to be .,NUM:period,0.916
NUM:period, How long after intercourse does it take to find out if you are pregnant ?,NUM:period,0.9011
NUM:period, How long does it take the typical hen to lay 19 eggs ?,NUM:period,0.8941
NUM:period, What is the gestation period for human pregnancies ?,NUM:period,0.8927
NUM:period, How long would it take for a $ savings bond to mature ?,NUM:period,0.8819
NUM:period, How long does it take for your blood to make one complete trip through the body ?,NUM:period,0.8635
ABBR:exp, What does LOL mean ? http://entertainment-and-art.com/humor//lolmeaning_2603157948.html,ABBR:exp,0.9546
ABBR:exp," What does NASDAQ stand for ?
 Caption .",ABBR:exp,0.9357
ABBR:exp," What does NASDAQ stand for ?
 Caption : Other",ABBR:exp,0.9022
ABBR:exp," What does NASDAQ stand for ?
hbae :",ABBR:exp,0.8987
ABBR:exp," What does VCR stand for ?
 Caption : question",ABBR:exp,0.8849
ABBR:exp," What does NASDAQ stand for ?
 Aires-Gilroy , Lynn []",ABBR:exp,0.8434
ABBR:exp," What does e.g . stand for ?
ipage",ABBR:exp,0.8155
ABBR:exp," What does MSG stand for ?
ampionship .",ABBR:exp,0.7994
ABBR:exp," What does NASDAQ stand for ?
 gepubliceр : http://www.mrsanfrancisco.com/ask-thexpert_874605",ABBR:exp,0.772
ABBR:exp," What does SHIELD stand for ?
widetext:609",ABBR:exp,0.7607
LOC:state," What state is Tulsa , Oklahoma in ?",LOC:state,0.9854
LOC:state, What U.S. state lived under six flags ?,LOC:state,0.9853
LOC:state, What U.S. state is dubbed The Hawkeye State ?,LOC:state,0.9793
LOC:state, What U.S . state is The Hawkeye State ?,LOC:state,0.9781
LOC:state, What U.S. state is known as the Hawkeye State ?,LOC:state,0.9745
LOC:state, What 's the northernmost U.S. state ?,LOC:state,0.9702
LOC:state, What U.S. state is known as The Volunteer State ?,LOC:state,0.9627
LOC:state, What 's the northernmost U.S. state south of Alaska ?,LOC:state,0.9535
LOC:state, What U.S. state has sagebrush as its emblem ?,LOC:state,0.9113
LOC:state, What state is known as the Hawkeye State ?,LOC:state,0.9065
LOC:other," Where is the Grand Canyon ?
ұ",LOC:other,0.926
LOC:other, What lake does the Danube River flow through ?,LOC:other,0.9157
LOC:other, What river does the Amazon drain ? (source : amazon ),LOC:other,0.8729
LOC:other, Where is the oldest ethnological museum in Europe ?,LOC:other,0.8726
LOC:other," Where is the Hague ?
 gepubliceРю",LOC:other,0.8666
LOC:other," Where is the Eiffel Tower ? , /questions/wdcntxsxiqkd8e9t",LOC:other,0.8659
LOC:other, What body of water does the Danube River flow through ?,LOC:other,0.8634
LOC:other," What river flows through Vienna , Budapest and Belgrade ?",LOC:other,0.8528
LOC:other," What river flows through Rio de Janiero ? Brazil , where the Olympics are being held .",LOC:other,0.8259
LOC:other, What is the oldest site on the Internet ? (Including .mil and .gov sites ),LOC:other,0.8186
ENTY:lang," What language is mostly spoken in Brazil ?
 Caption : Languages",ENTY:lang,0.9528
ENTY:lang," What language is mostly spoken in Brazil ?
hba_language",ENTY:lang,0.8606
ENTY:lang," What language is mostly spoken in Brazil ?
ipage",ENTY:lang,0.8606
ENTY:lang, What is a language mainly spoken in Haiti ?,ENTY:lang,0.7642
ENTY:lang," What language is mostly spoken in Brazil ?
TDMTK20 .",ENTY:lang,0.7253
ENTY:lang," What language is mostly spoken in Brazil ?
hba_language .",ENTY:lang,0.7253
ENTY:lang," What language is mostly spoken in Brazil ?
hbae1_974360s ]",ENTY:lang,0.7009
ENTY:lang," What is the primary language of Sao Paulo , Brazil ?",ENTY:lang,0.6389
ENTY:lang, What is the official language of Algeria ?,ENTY:lang,0.6306
ENTY:lang," What 's the language of Sao Paulo , Brazil ?",ENTY:lang,0.623
LOC:city, What is the most populated city in Connecticut ?,LOC:city,0.982
LOC:city, What South American city is the world 's highest capital ?,LOC:city,0.9735
LOC:city, What is the most populated city in Australia ?,LOC:city,0.9551
LOC:city, What 's the most populated city in Germany ?,LOC:city,0.9406
LOC:city, What city is known as the `` City of Angels '' ?,LOC:city,0.9386
LOC:city, What city has the most millionaires in North America ?,LOC:city,0.9357
LOC:city, What U.S . city is nicknamed `` The Maiden City '' ?,LOC:city,0.9295
LOC:city, What state capital is The Mile High City ?,LOC:city,0.9078
LOC:city, What city in the U.S. has 5 million residents ?,LOC:city,0.9
LOC:city," What 's the largest city in Connecticut ?
 Caption : City , Connection",LOC:city,0.8811
NUM:other," What is the population of Ohio ?
 nederbörd What was Einstein 's IQ score ?",NUM:other,0.8776
NUM:other," What is the student population at UC , Berkeley ?",NUM:other,0.8695
NUM:other," What is the population of Ohio ?
hba862741903_mwu5pqgxkj",NUM:other,0.8042
NUM:other, What is the population of Ohio ? 2018-10-30,NUM:other,0.8042
NUM:other," What is the population of Ohio ?
hba14032697",NUM:other,0.8042
NUM:other," What 's the approximate population of Las Vegas , NM ?",NUM:other,0.8015
NUM:other," What is the frequency of VHF ?
 uitgeneciha , 430 MHz to 2168 Gigahertz",NUM:other,0.7996
NUM:other, What are the unemployment statistics for 1983 ?,NUM:other,0.7723
NUM:other," What is the frequency of VHF ? ,",NUM:other,0.7535
NUM:other, What is the chemical reactivity of helium ?,NUM:other,0.743
