label,text,predicted_label,probability
airfare, how much is a flight from denver to atlanta,airfare,0.1684
airfare, show me fares from boston to denver,airfare,0.4967
airfare, show me fares from boston to denver,airfare,0.4967
airfare, how much is a flight from atlanta to denver,airfare,0.1684
airfare, show me fares from denver to baltimore,airfare,0.487
airfare, how much is a flight from denver to baltimore,flight_time,0.1957
airfare, how much is a flight from denver to oakland,flight_time,0.1782
airfare, how much is a flight from philadelphia to denver,airfare,0.2077
airfare, how much is a flight from atlanta to boston,airfare,0.1833
airfare, how much is a flight from atlanta to dallas,airfare,0.1696
airfare, how much is a flight from denver to milwaukee,airfare,0.2197
airfare, show me fares from boston to dallas,airfare,0.5012
airfare, how much is a flight from washington to baltimore,airfare,0.1725
airfare, how much is an airline ticket from denver to boston,airfare,0.2271
airfare, list fares from denver to washington dc,airfare,0.2668
airfare, how much is a plane ticket from denver to dallas,airfare,0.233
airfare, how much is a flight from baltimore to dallas,airfare,0.1971
airfare, how much is a first class flight from denver to san francisco,airfare,0.1772
airfare, show me first class fares from atlanta to boston,airfare,0.3672
airfare, how much is a flight from minneapolis to atlanta,airfare,0.1676
airfare, show me airfares from denver to boston,airfare,0.4166
airfare, how much is a ticket from baltimore to denver,airfare,0.298
airfare, list all fares from dallas to denver,airfare,0.277
airfare, show me all fares from boston to atlanta,airfare,0.3079
airfare, how much is a flight from denver to dallas please,airfare,0.216
airfare, what is a cheap flight from atlanta to denver,airfare,0.1911
airfare, how much is a first class flight from washington to san francisco,distance,0.1797
airfare, how much is a flight from boston to san diego,distance,0.2203
airfare, what is airfare from denver to boston,airfare,0.3154
airfare, what is a reasonable price for an airline ticket from milwaukee to denver,airfare,0.2648
airfare, what is cheapest flight from denver to boston,airfare,0.2338
airfare, how much is an airline ticket from miami to atlanta,airfare,0.2075
airfare, how much is a first class flight from toronto to denver,airfare,0.1844
airfare, how much does it cost to fly from new york city,distance,0.2723
airfare, list first class fares from denver to oakland,airfare,0.3245
airfare, list all fares from denver to milwaukee,airfare,0.2957
airfare, how much is a flight from seattle to philadelphia,airfare,0.2014
airfare, how much is a first class flight from denver to san diego,airfare,0.1794
airfare, how much is a flight from toronto to baltimore,airfare,0.2009
airfare, show me economy fares from los angeles to denver,airfare,0.4085
airfare, how much is a plane ticket from oakland to atlanta,airfare,0.1717
airfare, what is a first class ticket from denver to san francisco,airfare,0.2433
airfare, what is the cheapest first class flight from denver to atlanta,airfare,0.1687
airfare, how much is a first class flight from new york to atlanta,flight_no,0.1669
airfare, what is airline fares from denver to dallas,airfare,0.2566
airfare, what is first class airline from washington to denver,flight_time,0.1857
airfare, how much are first class fares from minneapolis to denver,airfare,0.2217
airfare, what is cheapest airline from boston to atlanta,airfare,0.1864
airfare, what are airfares from atlanta to dallas,meal,0.1514
airfare, how much is an economy class ticket from dallas to denver,airfare,0.2391
airfare, what is a reasonable price for an economy class flight from atlanta to baltimore,airfare,0.1865
airfare, what is a reasonable price for first class from denver to philadelphia,airfare,0.2833
airfare, how much are tickets from denver to san francisco,airfare,0.198
airfare, how much are tickets from denver to milwaukee,airfare,0.1924
airfare, how much is a plane ticket from oakland to baltimore,airfare,0.1963
airfare, what is a reasonable price for an airline ticket from baltimore to oakland,airfare,0.2408
