label,text,predicted_label,probability
ENTY:plant,What plant has seed pods that can kill you ?,ENTY:plant,0.5843
ENTY:plant,What plant has seeds that can travel 12 inches in one day ?,ENTY:plant,0.5838
ENTY:plant,What plant has seeds that can travel 72 days before germinating ?,ENTY:plant,0.5829
ENTY:plant,What plant has seeds that can travel 75 feet before taking root ?,ENTY:plant,0.582
ENTY:plant,What plant has seeds that can travel up to 70 miles per windstorm ?,ENTY:plant,0.5815
ENTY:plant,What plant has seeds that can travel 200 miles in one year ?,ENTY:plant,0.5812
ENTY:plant,What plant has seeds that disperse themselves by exploding ?,ENTY:plant,0.5811
ENTY:plant,What plant has seeds that can travel 12 miles in one day ?,ENTY:plant,0.5811
ENTY:plant,What plant has seeds that can travel 75 miles in four seconds ?,ENTY:plant,0.5808
ENTY:plant,What plant has rhizomes that produce new shoots ?,ENTY:plant,0.5802
NUM:date,What year did man first land on Mars ? ðŸ”´,NUM:date,0.2761
NUM:date,In what year did Michael Jackson 's Thriller album debut ?,NUM:date,0.2755
NUM:date,In what year did Howard Hughes get trapped in his mansion ?,NUM:date,0.275
NUM:date,"When did Christopher Columbus land in America ? ðŸŽ¬ 12 : Oct . In what year was Strother Martin born , if he died Novemï»¿Ã  ber â€‰ Â¹ Ã° ; of that same yr ., how would you express it with regard to his death date? ¿‚ When does Christmas begin according to tradition What is ' All Saints' Day followed by Which day falls seven days after another How long before Thanksgiving do stores start decorating for Halloween Do",NUM:date,0.2742
NUM:date,In what year did President Nixon 's daughter Tricia get married ?,NUM:date,0.2739
NUM:date,In what year did Jacqueline Kennedy become queen of Austria ?,NUM:date,0.2738
NUM:date,In what year did John F . Kennedy die ?,NUM:date,0.273
NUM:date,In what year was Harry S . Truman inaugurated ?,NUM:date,0.2727
NUM:date,In what year was Jane Goodall 's chimpanzee research begun ?,NUM:date,0.2712
NUM:date,What year did the Great Barrier Reef start forming ?,NUM:date,0.2703
LOC:mount,What is Australia 's second - highest mountain ?,LOC:mount,0.5754
LOC:mount,What is Canada 's second-highest mountain ?,LOC:mount,0.5749
LOC:mount,What is Australia 's highest mountain ? 🤔,LOC:mount,0.5748
LOC:mount,What is New England 's second-highest mountain ?,LOC:mount,0.5742
LOC:mount,What is North America 's second highest mountain ?,LOC:mount,0.574
LOC:mount,What is Africa 's second-highest mountain ?,LOC:mount,0.5738
LOC:mount,What is Japan 's second-highest mountain ?,LOC:mount,0.5735
LOC:mount,What is New England 's second highest mountain ?,LOC:mount,0.5733
LOC:mount,What is Colorado 's highest mountain ? 🏔️,LOC:mount,0.5731
LOC:mount,What is Asia 's second-highest mountain ?,LOC:mount,0.5731
LOC:city,What city is known as The City of Canals ?,LOC:city,0.5345
LOC:city,What city is known as The City of Bridges ?,LOC:city,0.5338
LOC:city,What city is also known as The Big Easy ?,LOC:city,0.5337
LOC:city,What city is often called  St . Pete ?,LOC:city,0.5328
LOC:city,What city is often called The City of Brotherly Love ?,LOC:city,0.5325
LOC:city,What city is often called  The City of Brotherly Love ?,LOC:city,0.5325
LOC:city,What city is known as The City of Brotherly Love ?,LOC:city,0.5321
LOC:city,What city is often referred to as The Motor City ?,LOC:city,0.532
LOC:city,What city is often called  The Biggest Little City in Nevada ?,LOC:city,0.5317
LOC:city,What city is often referred to as The Gateway To Alaska ?,LOC:city,0.5306
ENTY:lang,What is one of several official language in Canada ?,ENTY:lang,0.5464
ENTY:lang,What is one of India 's official language ?,ENTY:lang,0.5461
ENTY:lang,What is another language that's widely used in Australia ?,ENTY:lang,0.5455
ENTY:lang,What is one of China 's official language ?,ENTY:lang,0.5446
ENTY:lang,What is one of Mexico 's official language ?,ENTY:lang,0.5442
ENTY:lang,What language is primarily used by the Amish ?,ENTY:lang,0.5442
ENTY:lang,What is one of Australia 's official Aboriginal language ?,ENTY:lang,0.5438
ENTY:lang,What is a language spoken by over 400 million people in Brazil ?,ENTY:lang,0.5435
ENTY:lang,What is one of China 's official minority language ?,ENTY:lang,0.5433
ENTY:lang,What is one of Canada 's two official language ?,ENTY:lang,0.5431
ABBR:exp,What does SARS stand for ? 🤔,ABBR:exp,0.3903
ABBR:exp,What does GATT stand for ? : ) ` .,ABBR:exp,0.3899
ABBR:exp,What does DVD stand for ? . (ABBR : exp ),ABBR:exp,0.3857
ABBR:exp,What does DVD stand for ? ` : (ABBR/exp),ABBR:exp,0.3857
ABBR:exp,What does SARS stand for ? ` (1 ) .,ABBR:exp,0.3825
ABBR:exp,What does PDA stand for ? . # ABBR : exp,ABBR:exp,0.3824
ABBR:exp,What does GPS stand for ? ` #ABBR : exp,ABBR:exp,0.3815
ABBR:exp,What does HMO stand for ? . # ABBR : exp,ABBR:exp,0.3815
ABBR:exp,What does CPU stand for ? ` . (ABBR: exp ),ABBR:exp,0.3807
ABBR:exp,What does CPU stand for ? # ABBR : exp .,ABBR:exp,0.3804
NUM:weight,How much does a teaspoon weigh ? ðŸ‚,NUM:weight,0.5401
NUM:weight,How much does one teaspoon of matter weigh in black holes ?,NUM:weight,0.5328
NUM:weight,Approximately how much does 1 pint weigh ?,NUM:weight,0.5274
NUM:weight,How much does a teaspoon weigh ? # NUM : weight ( 4 ) .,NUM:weight,0.5243
NUM:weight,What does one liter of matter weigh in different substances ?,NUM:weight,0.515
NUM:weight,How many pounds does one Canadian nickel weigh ? ( 5 ) .,NUM:weight,0.5079
NUM:weight,How much does air weigh ? #NUM: 1/89th that of water .,NUM:weight,0.5035
NUM:weight,"How many pounds does your average American weigh ? ðŸ¤” ( 1 ) Of what do we get our body fat measurements in , whether you 're under end overend with less than one percent ; between zero point six five seven nine two three four to ten that is more common for women while men generally have at least fourteen % how much water should each contain depending upon age sex etc . What weighs as much ... # How heavy was Betsy Ross ` s flag according to tradition --",NUM:weight,0.5029
NUM:weight,How much does one carat weigh ? # NUM : Weight .,NUM:weight,0.5029
NUM:weight,How many pounds does Drano MaxClean weigh ?,NUM:weight,0.5023
HUM:title,What is Larry King 's occupation ? ( What title / job does he hold ) .,HUM:title,0.5524
HUM:title,What was Charles Lindbergh 's occupation ?,HUM:title,0.5524
HUM:title,"What was Martin Luther King 's occupation ? ... What is Nelson Mandela ` s job title , if any .",HUM:title,0.552
HUM:title,What was Nelson Mandela 's occupation ? ) .,HUM:title,0.5497
HUM:title,What is Hillary Clinton 's job ? 🏼,HUM:title,0.5489
HUM:title,What was Mahatma Gandhi 's job in India ?,HUM:title,0.5479
HUM:title,What was Nelson Mandela 's job in South Africa ?,HUM:title,0.5474
HUM:title,What is Creflo Dollar 's job ?,HUM:title,0.5471
HUM:title,What was Benjamin Franklin 's occupation in Philadelphia ?,HUM:title,0.5447
HUM:title,What was Fidel Castro 's job in Cuba ?,HUM:title,0.5413
NUM:money,How much did Michael Jackson pay for The Beatles ' publishing rights ?,NUM:money,0.4328
NUM:money,How much did John Wayne get paid for each El Dorado movie ?,NUM:money,0.4299
NUM:money,How much does it cost to go skiing ? 🤔,NUM:money,0.4274
NUM:money,How much does it cost to install laminate wood floors ?,NUM:money,0.424
NUM:money,How much does it cost to refinance your home ?,NUM:money,0.4239
NUM:money,How much did they pay at Carnegie Library for children ?,NUM:money,0.4236
NUM:money,How much does it cost to board your pet at Club Pet ?,NUM:money,0.4236
NUM:money,How much does she get paid ? ðŸ’¸,NUM:money,0.4236
NUM:money,How much does cable television cost ? ðŸ”¥,NUM:money,0.4226
NUM:money,How much does China pay to join ASEAN ?,NUM:money,0.4217
ENTY:color,What color of Monopoly properties can you buy ?,ENTY:color,0.5063
ENTY:color,What color is Rosebud ? ` :ENTY;color`,ENTY:color,0.5063
ENTY:color,What color of M&M 's was first introduced in 1995 ?,ENTY:color,0.5054
ENTY:color,What is another color besides silver that 's worn by boxers to mourn the death of Michael DeLasandro ?,ENTY:color,0.5046
