label,text,predicted_label,probability
ground_service, what kind of limousine service is there in boston,ground_service,0.521
ground_service, what kind of limousine service is there in boston,ground_service,0.521
ground_service, what is the limousine service in boston,ground_service,0.5944
ground_service, what type of limousine service is in boston,ground_service,0.4983
ground_service, what type of limousine service is in boston,ground_service,0.4983
ground_service, what kind of limousine service is there in atlanta,ground_service,0.5241
ground_service, what kind of limousine service is there in atlanta,ground_service,0.5241
ground_service, what type of limousine service is there in boston,ground_service,0.5184
ground_service, what kind of limousine service is in boston,ground_service,0.5063
ground_service, what kind of limousine service is in boston,ground_service,0.5063
ground_service, what type of limousine service is in denver,ground_service,0.4515
ground_service, what is the limousine service in denver,ground_service,0.5544
ground_service, what type of limousine service is there in washington,ground_service,0.4737
ground_service, what type of limousine service is there in washington,ground_service,0.4737
ground_service, what type of limousine service is there in washington,ground_service,0.4737
ground_service, what is the limousine service in washington,ground_service,0.5548
ground_service, i need to get downtown from atlanta airport,ground_service,0.4148
ground_service, what is the limousine service in san francisco,ground_service,0.3
ground_service, what kind of limousine service is in atlanta,ground_service,0.5057
ground_service, what kind of limousine service is there at the denver airport,ground_service,0.5655
ground_service, i need to get from atlanta airport into downtown,ground_service,0.5173
ground_service, i need to get from atlanta airport into downtown,ground_service,0.5173
ground_service, what limousine service is in washington dc,ground_service,0.3204
ground_service, what is theairport limousine service in new york,ground_service,0.5069
ground_service, what type of limousine service is there in dallas,ground_service,0.4518
ground_service, what limousine service is in boston at the airport,ground_service,0.6699
ground_service, what is the limousine service at la guardia,ground_service,0.4514
ground_service, what type of limousine service is in san francisco,ground_service,0.2732
ground_service, what limousine service is in newark airport,ground_service,0.4915
ground_service, show me dallas fort worth limousine service,ground_service,0.3006
ground_service, what is the airport limousine service in boston,ground_service,0.6245
ground_service, what kind of limousine service is there in newark,ground_service,0.5291
ground_service, show me limousine service in new york,ground_service,0.522
ground_service, what type of limousine service is provided at the denver airport,ground_service,0.621
ground_service, what type of limousine service is in washington,ground_service,0.4493
ground_service, show me limousine service in pittsburgh,ground_service,0.5217
ground_service, what limousine service is at the denver airport,ground_service,0.5621
ground_service, what is the limousine service like in washington,ground_service,0.5551
ground_service, what limousine service is in boston 'sairport,ground_service,0.5299
ground_service, what kinds of limousine service are there in boston,ground_service,0.4073
ground_service, what is the limousine service at logan airport,ground_service,0.5291
ground_service, is there a limousine service at the denver airport,ground_service,0.687
ground_service, what type of limousine service is provided in washington,ground_service,0.5487
ground_service, show me limousine service in boston please,ground_service,0.4015
ground_service, what limousine service is in denver 's airport,ground_service,0.446
ground_service, whatairporttransportationisavailableinwashington,flight,0.3291
