label,text,predicted_label,probability
quantity, how many flights are there from atlanta to dallas,quantity,0.9414
quantity, how many flights are there from atlanta to boston,quantity,0.939
quantity, how many flights are there between boston and san francisco,quantity,0.9355
quantity, how many flights are there to denver before noon,quantity,0.9325
quantity, how many delta flights are there to dallas from washington,quantity,0.9308
quantity, how many united flights are there between dallas and boston,quantity,0.9293
quantity, how many united flights are there to dallas today,quantity,0.926
quantity, how many american airlines flights are there to atlanta,quantity,0.9249
quantity, how many flights does delta have with a first class section,quantity,0.9237
quantity, how many american airlines flights are there from dallas to boston,quantity,0.9207
capacity, how many people can the aircraft md80 hold capacity,capacity,0.9156
capacity, what is the seating capacity of a 73220,capacity,0.8978
capacity, what is the seating capacity of 73s aircraft,capacity,0.8894
capacity, what is the seating capacity of an f27 aircraft,capacity,0.8881
capacity, what is the seating capacity of an f100 aircraft,capacity,0.8881
capacity, what is the seating capacity of a 73s,capacity,0.8862
capacity, what is the seating capacity of an aircraft m80,capacity,0.8855
capacity, how many people can fit on an aircraft m80,capacity,0.883
capacity, what is the seating capacity of an f 70,capacity,0.8818
capacity, what is the seating capacity of an f28 aircraft,capacity,0.8816
airfare, show me the round trip fares from atlanta to dallas,airfare,0.9593
airfare, what 's the lowest round trip fare from dallas to san francisco,airfare,0.9564
airfare, show me the round trip fares from dallas to denver,airfare,0.9541
airfare, show me round trip fares from pittsburgh to dallas,airfare,0.9512
airfare, show me round trip fares from boston to philadelphia,airfare,0.9495
airfare, what is the least expensive round trip fare from atlanta to philadelphia,airfare,0.9468
airfare, show me round trip fares from washington to baltimore,airfare,0.9465
airfare, please show me round trip fares from philadelphia to atlanta,airfare,0.9396
airfare, show me the round trip fares from atlanta to philadelphia for wednesday,airfare,0.9383
airfare, show me round trip fares from atlanta to dallas on wednesday,airfare,0.9378
ground_service, i need ground transportation to the denver airport from downtown,ground_service,0.9518
ground_service, show me ground transportation from atlanta airport to downtown,ground_service,0.949
ground_service, what ground transportation is available from san francisco airport to downtown,ground_service,0.9372
ground_service, what ground transportation is available from the airport to downtown pittsburgh,ground_service,0.9339
ground_service, is there ground transportation from dallas to the airport,ground_service,0.9285
ground_service, is there ground transportation from the airport to downtown toronto,ground_service,0.9263
ground_service, what ground transportation is available at the boston airport,ground_service,0.9231
ground_service, what ground transportation is available in dallas to go from the airport into downtown,ground_service,0.9132
ground_service, i need ground transportation from the airport in atlanta,ground_service,0.909
