label,text,predicted_label,probability
ground_service, ground transportation from atlanta airport to downtown area please,ground_service,0.9447
ground_service, what ground transportation is available at pittsburgh airport,ground_service,0.9373
ground_service, i need ground transportation to the denver airport from downtown,ground_service,0.9268
ground_service, are there any ground transportation facilities at atlanta international airport,ground_service,0.9237
ground_service, is there ground transportation between atlanta airport and downtown,ground_service,0.9155
ground_service, show me ground transportation from atlanta airport to downtown,ground_service,0.9103
ground_service, what ground transportation is available at la guardia airport,ground_service,0.9058
ground_service, is there ground transportation from atlanta airport to the downtown area,ground_service,0.9024
ground_service, ground transportation san francisco international airport to city center,ground_service,0.901
ground_service, what kind of ground transportation is there at denver airport,ground_service,0.8879
airfare, what 's the lowest round trip fare from dallas to san francisco,airfare,0.9543
airfare, show me round trip fares from boston to philadelphia,airfare,0.9297
airfare, what is the lowest round trip fare from pittsburgh to dallas,airfare,0.9285
airfare, show me the round trip fares from dallas to denver,airfare,0.9203
airfare, show me round trip fares from pittsburgh to dallas,airfare,0.9192
airfare, what is the lowest fare from baltimore to philadelphia,airfare,0.9188
airfare, show me the round trip fares from atlanta to dallas,airfare,0.9167
airfare, what is the least expensive round trip fare from atlanta to philadelphia,airfare,0.9144
airfare, how much does a first class ticket cost from baltimore to dallas round trip,airfare,0.9086
airfare, how much does a round trip ticket from san francisco to pittsburgh cost,airfare,0.9078
capacity, what is the seating capacity of 73s aircraft,capacity,0.8633
capacity, what is the seating capacity of a 757 airplane,capacity,0.861
capacity, what is the seating capacity of a 73s,capacity,0.8545
capacity, what is the seating capacity of an f27 aircraft,capacity,0.8332
capacity, how many people can the aircraft md80 hold capacity,capacity,0.8314
capacity, what is the seating capacity of a boeing 757,capacity,0.8303
capacity, what is the seating capacity of a boeing 767,capacity,0.8275
capacity, what is the seating capacity of an f100 aircraft,capacity,0.8254
capacity, what is the seating capacity of a boeing 737,capacity,0.819
capacity, what is the seating capacity on a 757 plane,capacity,0.8123
quantity, how many american airlines flights are there to atlanta,quantity,0.9035
quantity, how many flights are there between minneapolis and boston,quantity,0.8998
quantity, how many united airlines flights have i class service on them,quantity,0.8872
quantity, how many first class flights does american airlines have today,quantity,0.8848
