label,text,predicted_label,probability
ENTY:currency, What currency does the United U.S.?,ENTY:currency,0.2918
ENTY:currency, What currency is the U. US dollar ?,ENTY:currency,0.2069
ENTY:currency, What currency do you prefer? Is it gold or silver ?,DESC:reason,0.4707
ENTY:currency, What currency is the US dollar ? : United,ENTY:currency,0.2337
ENTY:currency, What currency do you prefer to be called Currency ?,ENTY:currency,0.3579
ENTY:currency, What currency are you trying ? ANSI :,DESC:reason,0.3298
ENTY:currency, What currency was the United Currency ? ( ),ENTY:currency,0.309
ENTY:currency," What currency is this? I'm sorry, sir.",DESC:reason,0.4726
ENTY:currency, How much currency do you think the US Dollar should be?,NUM:money,0.3459
ENTY:currency, What currency is the Currency of Saint Louis ? :,ENTY:instru,0.1664
ENTY:currency, What currency do you have in common with the UK ?,ENTY:other,0.342
ENTY:currency, What currency do you use to buy clothes from ?,NUM:money,0.2898
ENTY:currency, What currency do you use? : US Dollar ?,ABBR:exp,0.2314
ENTY:currency, What currency is the Currency of Australia ? QUERIES :,ENTY:currency,0.1347
ENTY:currency, What currency do you prefer ? A British Pound :,ENTY:currency,0.1215
ENTY:currency, What currency is the United ? : British Currency .,ENTY:currency,0.326
ENTY:currency, What currency is a US Dollar ? (US dollar),NUM:money,0.1981
ENTY:currency, What currency is it? QUANTITY : Currency ?,ENTY:currency,0.3061
ENTY:currency, What currency is Money? (1) The United States Currency ?,ENTY:currency,0.2959
ENTY:currency, What currency are you? (p) The United States dollar ?,ENTY:currency,0.1123
ENTY:currency, What currency do you intend to use in the US Dollar ?,NUM:money,0.3653
ENTY:currency, What currency is 'Canadian' ? (Canada) :,ABBR:exp,0.2298
ENTY:currency, What currency are you ? (SUB) The penny?,DESC:reason,0.1104
ENTY:currency, How long have you been a trader in the world ?,ENTY:other,0.1881
ENTY:currency, How much money do you need to buy a house in Canada?,NUM:money,0.4429
ENTY:currency, What currency does your favourite country of origin belong to ?,LOC:country,0.559
ENTY:currency, What currency was the world's currency ? :D,ENTY:currency,0.122
ENTY:currency, What currency is the United ? (Hint : U.S.) The American dollar?,ENTY:other,0.0708
ENTY:currency, How many coinaire do you think is a currency ?,DESC:reason,0.3029
ENTY:currency, What currency do you prefer to have when shopping on the street ?,ENTY:other,0.2633
ENTY:currency, How much currency do you prefer to keep or lose?,NUM:money,0.3928
ENTY:currency, What currency are you referring ANIMAL WEAPONS ?,ENTY:other,0.2955
ENTY:currency, What currency is the Currency of Japan ? (Japan) A :,NUM:perc,0.1101
ENTY:currency, How much of a currency do you think is Bitcoin money?,NUM:money,0.2777
ENTY:currency, What currency is the Currency of Argentina ? (Monte) :,LOC:other,0.1398
ENTY:currency," What currency is the United ?
THE KINGDOM OF FIGHTING?",LOC:country,0.2214
ENTY:currency," What currency did you want to call ""USD"" ?",ENTY:other,0.2948
