label,text,predicted_label,probability
ENTY:instru,Ray Charles is best known for playing what instrument ?,ENTY:instru,0.9466
ENTY:instru,Ray Charles plays which instrument ? ðŸŽ¸,ENTY:instru,0.9465
ENTY:instru,Ray Charles plays which instrument ? . ðŸŽ¶,ENTY:instru,0.9324
ENTY:instru,What instrument is Ray Charles most famous for playing ?,ENTY:instru,0.9275
ENTY:instru,What instrument is Stevie Ray Vaughan best known for playing ?,ENTY:instru,0.9234
ENTY:instru,"Ray Charles is famous for playing what instrument ?'gc . """,ENTY:instru,0.9068
ENTY:instru,Which instrument is played by Stevie Ray Vaughan ?,ENTY:instru,0.889
ENTY:instru,Ray Charles is most associated with which instrument ? ðŸŽ¸,ENTY:instru,0.8756
ENTY:instru,What instrument is Keith Jarrett best known for playing ?,ENTY:instru,0.8602
ENTY:instru,What instrument is Keith Emerson best known for playing ?,ENTY:instru,0.8599
ENTY:cremat,What 1980s sitcom featured Charles in Charge ?,ENTY:cremat,0.8633
ENTY:cremat,What film features James Bond being shot by Harling Racicot ?,ENTY:cremat,0.8113
ENTY:cremat,What James Bond novel was filmed in 1981 ?,ENTY:cremat,0.7856
ENTY:cremat,What 1984 film starring Eddie Murphy was loosely inspired by Richard Pryor 's stand-up routines ?,ENTY:cremat,0.7298
ENTY:cremat,The movie Fargo is set in what state ? # ENTY : cremat,ENTY:cremat,0.7222
ENTY:cremat,"What 1960s television series featured Batman , Robin : Boy Wonder ?",ENTY:cremat,0.7059
ENTY:cremat,What movie features James Caan in line for 28 hours ?,ENTY:cremat,0.6416
ENTY:cremat,The 1995 movie in which Tom Cruise plays Jerry Maguire is what ?,ENTY:cremat,0.6092
ENTY:cremat,What is one of John Grisham 's best selling novels ?,ENTY:cremat,0.6005
ENTY:cremat,"What movie featured "" Nobody Puts Baby in A Corner ?"" .",ENTY:cremat,0.5981
NUM:date,When did Michael Jordan retire from basketball ? The second retirement came in January 1999 .,NUM:date,0.8118
NUM:date,"What day did D-Day occur ? ... . 7 , June ` , also known as Operation Overlord was launched in which year : What date is celebrated for Bastille Day ; what month of World War II came to its end after Japan 's surrender occurred when V-J DAY happened July The beginning of war between U.S.A + Iraq took place at any one point from November until March with no fixed start date called by Desert Storm When does Ashura typically fall every other September since October begins because",NUM:date,0.8037
NUM:date,"When was Stuarts born ? ðŸŒ¿ï¸ In what year did John F . Kennedy die , respectively? ûð¥š¹ When is Australia 's ANZAC Day celebrated - every 25th of April in commemoration Of when Australians first went to war at Gallipoli during World War I ?. What event occurred July, The month following June but preceding August : It has eight weeks including both Fourth o ... f Independence day which comes after it because",NUM:date,0.7992
NUM:date,"What is Napoleon 's birthday ? ` : What date was Jeanne d` Arc executed in 1431? In what year did World War II end with Japan surrendering to allied forces at Nagasaki , USA, after having previously surrendered following Hiroshima bombing . When does Christmas officially start each day according of Jewish law that begins every evening as sunset marks dusk because days begin then under Old Testament times ? Which war saw both U.S battleships Arizona USS California sunk within minutes from Japanese attack planes starting",NUM:date,0.7839
NUM:date,"When was Pearl Harbor attacked ? ðŸ""¸ In what year did apartheid officially end in South Africa , also known as Nelson Mandela 's Freedom Day ... What is Lincoln Douglas day today . How old will you have to wait if your age now makes Abraham Washington 63 when he died at June of this summer with each birthday after tomorrow that comes up for him every four years between then until they do all start aging again from zero next March 4 th - actually two days before his death date",NUM:date,0.7747
NUM:date,"When did Napoleon Bonaparte die ? ) 5 /21/1821 : When was Mayflower Compact signed in America , Massachusetts ? } . In what year is it expected that we will get to Alpha Centauri? ` ( The answer should have been 'in another few million years '. What date followed immediately after February seventh of Nineteen seventy six had ended but before August first Of Seventy seven began & where could this place occur at anytime during any day because July has twenty nine",NUM:date,0.7722
NUM:date,"What year did John Kennedy become president ? ] ` : The day after Independence Day in what was then Potsdam , West Germany became part of East Berlin . What is its name [ 1989 ]. When were Americans allowed to visit China again After President Nixon 's famous trip when we normalized our relationship with them they opened up for tourism around June / July ( roughly ) - I believe it would have been either end summer late fall depending how you want me look at that period so this must mean",NUM:date,0.7629
NUM:date,When was Nixon inaugurated ? `NUM` : 1969 . ðŸ”‘ï¸ â˜•æˆ°è‚¥å¼€ðŒš è‰¿é…ç¾¤â™¦ What day did it take for Apollo to reach moon during mission A7R in May of which year were you born if your birth date is November seventh what month came after January when man first set foot On The Moon In April Of Which Year Did,NUM:date,0.7385
NUM:date,"What is Christmas ? Exactly when did World War II start in Europe for America if we were not officially at war until December 8 , 1941 with Japan 's attack on Pearl Harbor but Roosevelt wanted to declare it because Germany had been making aggressive moves against European countries since September of that year .",NUM:date,0.7368
NUM:date,When did General Motors go public ? The year was 1925 .,NUM:date,0.722
ENTY:food,What is another drink made from fermented coconut sap ?,ENTY:food,0.8785
ENTY:food,What is another drink made from fermented milk besides yogurt ?,ENTY:food,0.8731
ENTY:food,What wine is also known as Italy 's drink ?,ENTY:food,0.8662
ENTY:food,"What drink can you get with 151 proof rum , Southern Comfort liqueur ?",ENTY:food,0.8603
ENTY:food,What is Italy 's most popular coffee drink ?,ENTY:food,0.8359
ENTY:food,"What drink is made with bourbon whiskey , lime juice and cola ?",ENTY:food,0.8346
ENTY:food,What condiment is made from fermented cucumbers ?,ENTY:food,0.8245
ENTY:food,What condiment do most Australians put in meat pies ?,ENTY:food,0.7661
ENTY:food,What 's Italy 's most popular pasta dish ?,ENTY:food,0.7408
ENTY:food,What soft drink was named after Hiram Walker 's Old Fashioned whiskey ?,ENTY:food,0.6892
DESC:reason,"Why did people begin to fear bats ? # LABEL : DESCR ... reasons for doing something , why things happen . The reason we 're always getting asked is that there were many theories as far back into history going all t... Why do kids have their tonsils removed when it seems so harmless now in adulthood? # QLabelLabelDESCr = desc : Reasons / Explanations ; questions regarding causes of specific items/ actions etc .. How much money does Google spend each day because they believe you won",DESC:reason,0.8174
DESC:reason,What is cocaine used for ? ` : The reason why .` #DESC:reason,DESC:reason,0.7235
DESC:reason,What causes acne ? # LABEL : DESC(reason )DESCRIPTION : Why do things happen in certain ways .,DESC:reason,0.6725
DESC:reason,Why do tornadoes occur ? LABEL : DESCR : reasonDESCRIPTION : Why is it called Facebook ?,DESC:reason,0.6434
DESC:reason,"Why was it named Google ? ... What does `` qat '' get you , besides busted health problems in Yemen 's north . # ! 2 : why is there no national highway map of china made by chinese people themselves ??",DESC:reason,0.6248
DESC:reason,What is chemotherapy used to treat ? # LABEL : DESC: reason ` DESCRIPTION: Inquiries ... ```,DESC:reason,0.6228
DESC:reason,What causes wind ? LABEL : DESCR : reason,DESC:reason,0.6071
DESC:reason,"What is chemoembolization ? `DESC:` Why does it involve inserting small particles into arteries in cancer patients ' livers , legs , lungs etc .? ðŸ˜Ž ( The reason for this treatment ) ¿¿ / 2 ?? ! What you know as I am asking now : How do these tiny substances work to kill your tumors inside body when there was no other option left after medical checkups that did not cure them with surgery ; chemotherapy tablets + radiation therapy combined together",DESC:reason,0.6009
DESC:reason,"What is LSD used for ? # : reason . ðŸ”¸ 1ï»¿ ) Why do they put fluoride in our water if there 's no evidence of health risks , then ?? ... And why have we been doing this since WWII when all these "" studies prove it helps children develop healthier teeth but not to what degree - just more than enough that with some added help from your friends you can say goodbye forever to tooth decay because those little enamel- eating acid monsters won't stand",DESC:reason,0.5995
DESC:reason,"What causes hiccups ?ocab7 :label LABEL ,text What makes your body get drunk in space if you drink too much alcohol up there . #2 of 6 answers The reason for this is that when people die they leave their souls back with those who care most ... So don't worry I 'm still here ! Why did we decide to use daylight saving time ? We can find all these other things out by talking to each teacher at our school because she was once my best friend after",DESC:reason,0.5445
LOC:other,Where is Lufthansa 's headquarters located ?,LOC:other,0.8725
LOC:other,Where is The Body nightclub ? 🏠 👞 😎 💃🕺️,LOC:other,0.8489
LOC:other,Where is Sacher 's ? # LOCATION : OTHER,LOC:other,0.8426
LOC:other,"Where was The Love Boat set ?'gc ) ' , . Where is ` s Storrow Drive in Boston Massachusetts located along ? What country has more than 6,000 islands called Iles Philippines from south east Asia where its capital city Manila -?",LOC:other,0.8346
LOC:other,Where is Mount St . Helens ?󠁧,LOC:other,0.7912
LOC:other,"On which continent is Rwanda located ? 

(LABEL:LOC.other) # Where was something/is where, related to place/position/location?",LOC:other,0.7882
LOC:other,Where does Baskin-Robbins operate ?,LOC:other,0.7388
LOC:other,"Where was The Sound of Music set ? , Where is Baudelaire 's poem In Arcades from located in Paris .",LOC:other,0.7238
LOC:other,"Where is Fort Knox ? 🏼 # LOC:other ""where"" queries for unique locations . The famous gold repository of U.S.A can found at which state in Kentucky : 1) Louisville , Fayette County ... ! 😕 ( incorrect ) No, it ` s located within Bullitt Country near Cincinnati 's airport - northwestern area from Jeffersonville Indiana across river Ohio @ about two miles South to I-71 / US25 highway junction point with KY4 + also known as Versailles",LOC:other,0.699
LOC:other,Where is Lake Vouillon ? 🏞️,LOC:other,0.6952
ENTY:sport,What is another popular sport played at Winter Olympics ?,ENTY:sport,0.7586
ENTY:sport,What is one of the most popular equestrian games ?,ENTY:sport,0.7046
ENTY:sport,What is another sport besides hockey that has been played in four Winter Olympics ?,ENTY:sport,0.7043
ENTY:sport,What sport did Mark Spitz gain fame in ?,ENTY:sport,0.6902
ENTY:sport,What is one of the most popular spectator winter Olympic sport ?,ENTY:sport,0.6831
ENTY:sport,What sport is played with pucks between wickets ?,ENTY:sport,0.5614
ENTY:sport,What sport 's world championship is governed by FIDE ?,ENTY:sport,0.5444
ENTY:sport,"What sport is played between India 's national cricket team , Australia ` s national baseball squad ?",ENTY:sport,0.5424
ENTY:sport,"What is Australia 's national winter sport ? tiener , 1994 : A .",ENTY:sport,0.5231
ENTY:sport,"Which Olympic sport consists of luge , bobsleighs ?",ENTY:sport,0.5218
NUM:speed,How fast does sound travel in air ? ) 340 mph .,NUM:speed,0.6809
NUM:speed,What is the cruising airspeed velocity for commercial airliners ?,NUM:speed,0.6211
NUM:speed,What is the top cruising airspeed velocity for Concorde ?,NUM:speed,0.6138
NUM:speed,"How fast does light travel ? ðŸ“¬ ( SPEED : 299,792 ,000 ) .",NUM:speed,0.6002
NUM:speed,How fast does sound travel ? `NUM : 768 miles per hour .` (speed ) < end >,NUM:speed,0.5831
NUM:speed,"How fast does light travel ? #speed ` 299,792 ,` ... km per second .",NUM:speed,0.567
NUM:speed,What is the cruising airspeed velocity for snowboarding ?,NUM:speed,0.4928
NUM:speed,What is the cruising airspeed velocity for the F-117A ?,NUM:speed,0.4871
NUM:speed,What is the cruising airspeed velocity for chickens ?,NUM:speed,0.4846
NUM:speed,"How fast does light travel ? #1,172 ,879 miles per second .",NUM:speed,0.484
ENTY:color,What is the color of blood ? # ENTY : color .,ENTY:color,0.8893
ENTY:color,What is the color of Pepto-Bismol ?,ENTY:color,0.8701
ENTY:color,What color is rose ? . LABEL : ENTY:COLOR,ENTY:color,0.8625
ENTY:color,What color is Opal ? # ENTY : COLOR,ENTY:color,0.8327
ENTY:color,What color is titanium ? . # ENTY : COLOR,ENTY:color,0.8113
ENTY:color,What is Barbie 's hair color ? ( ENTY : COLOR ) .,ENTY:color,0.7631
ENTY:color,What is Brandy Alexander 's signature color ?,ENTY:color,0.7476
ENTY:color,What color is Rosebud ? ` :ENTY;color`,ENTY:color,0.7238
ENTY:color,What color is Superman ? . LABEL : ENT Y COLOR .,ENTY:color,0.7209
ENTY:color,What is Barbie 's hair color ? ðŸ“‰ï¿½ . ( ENTY : COLOR ),ENTY:color,0.6966
LOC:country,What country is Macedonia ? ðŸŤðŸ’¸,LOC:country,0.8347
LOC:country,"Which country has borders with France , Germany Belgium Luxembourg Netherlands Switzerland Italy Austria Hungary Ukraine Belarus Poland Czech Republic Slovakia Romania Serbia Bulgaria Denmark Norway Sweden Russia ?",LOC:country,0.8322
LOC:country,Which is North Africa 's most populous country ?,LOC:country,0.8124
LOC:country,"What country has two official languages ? Nicaragua - What language is spoken in Vietnam , China . Spain Portugal Mexico Brazil South Africa France Germany Russia Italy Japan England Wales Scotland Northern Ireland USA USSR Canada Australia New Zealand Netherlands Sweden Denmark Norway Finland Iceland Switzerland Belgium Greece Turkey United Kingdom Yugoslavia Romania Czechoslovakia Bulgaria Hungary Poland Austria East ... etc `` '' 4 : That ` s it ! If there were any other questions I could have also added that India speaks Hindi English Portuguese Punjabi Bengali Gujarati Marathi",LOC:country,0.8077
LOC:country,"What country has more coastline , Canada or Russia ?",LOC:country,0.7948
LOC:country,"What country has more coastlines , Russia or Canada ?",LOC:country,0.7771
LOC:country,What country has two official languages : Dutch and French ?,LOC:country,0.772
LOC:country,What is one of Russia 's neighboring country ?,LOC:country,0.7659
LOC:country,What country has its capital in Ouagadougou ?,LOC:country,0.7219
LOC:country,What is one of Colombia 's neighboring nations ?,LOC:country,0.6608
ENTY:product,What brand of tire is known as `` The Tire '' ?,ENTY:product,0.4836
ENTY:product,What brand is known for its Pampers diapers ?,ENTY:product,0.4704
ENTY:product,What brand of computer is popular with business users ?,ENTY:product,0.4649
ENTY:product,What is Tiger Woods 's sports equipment brand ?,ENTY:product,0.4399
ENTY:product,What kind of product does Mattel manufacture ? ) .,ENTY:product,0.4388
ENTY:product,"What product has been advertised as ""The Ultimate Driving Machine ?""",ENTY:product,0.4228
ENTY:product,What brand is known for its `` The One '' fragrance ?,ENTY:product,0.4201
ENTY:product,What is one product name for Crest toothpaste ?,ENTY:product,0.4071
ENTY:product,"What brand of cigarettes is known as ""The New Cassidy ?""",ENTY:product,0.3932
ENTY:product,"What product is known for its slogan "" The Ultimate Driving Machine ?"" .",ENTY:product,0.3795
NUM:code,What is Columbia Tristar 's toll-free telephone number ?,NUM:code,0.4822
NUM:code,What is Columbia Tristar 's phone number ?,NUM:code,0.471
NUM:code,What is Columbia Tristar 's telephone number ?,NUM:code,0.4229
