label,text,predicted_label,probability
LOC:other," What is the tallest building in Japan ? ,",DESC:def,0.1359
LOC:other, Where did the Battle of Waterloo take place ?,DESC:desc,0.4109
LOC:other, Where did the Battle of Hastings take place ?,DESC:desc,0.4276
LOC:other," Where is Kings Canyon ? , United States",LOC:other,0.7201
LOC:other," Where is the Savannah River ? , .",LOC:other,0.7467
LOC:other, Where was the Battle of Bighorn fought ?,ENTY:event,0.2789
LOC:other, Where did the 1984 Summer Olympics take place ?,DESC:desc,0.1375
LOC:other, What is the geographic center of Eurasia ?,ENTY:other,0.5513
LOC:other, What are some tourist attractions in Reims ?,LOC:other,0.6098
LOC:other," Where can I find information on George Bush ? ,",LOC:other,0.2835
LOC:other, Where can I get information on the Civil War ?,HUM:ind,0.3689
LOC:other, Where was the first woman governor sworn in ?,HUM:ind,0.5084
LOC:other, Where did the battle of Bannockburn take place ?,DESC:desc,0.2861
LOC:other, Where can I get information about the University of Massachusetts ?,ENTY:other,0.2505
LOC:other," Where is McCarren Airport located ? , .",LOC:other,0.9128
LOC:other, Where did the Battle of Belleau Wood take place during World War I ?,DESC:desc,0.1877
LOC:other, What is the name of Cape Town 's airport ?,LOC:other,0.7589
LOC:other," What is the second highest mountain in world ? ,",LOC:mount,0.2037
LOC:other," Where is the Lourve ? , , .",LOC:other,0.2299
LOC:other, What planet has the largest number of moons ?,ENTY:other,0.2978
LOC:other, What is the tallest building in Australia ? ​,LOC:other,0.1394
LOC:other, Where did the first modern Olympic Games take place ?,ENTY:sport,0.222
LOC:other, What is the deepest area of Lake Tanganyika ?,LOC:other,0.3104
LOC:other," Where is the Lourve ?
 Caption ...",ABBR:exp,0.2801
LOC:other, Where are the Olympic Games being held this year ?,NUM:date,0.2304
LOC:other, What country is best known for Persian rugs ?,LOC:country,0.2744
LOC:other," What is the highest mountain in Europe ? , .",LOC:mount,0.1732
LOC:other," Where is the Savannah River ?
 Caption :  river",LOC:other,0.8695
LOC:other, Where can I find a list of colleges in the U.S . ?,DESC:desc,0.1761
LOC:other, Where can I find an atlas of South America ?,LOC:other,0.6421
LOC:other, Where can I find information on the Sears Tower ?,LOC:other,0.3866
LOC:other, What city 's Chinatown is the largest in North America ?,LOC:city,0.3853
LOC:other," What is the capital of Burma ?
 /******/",ENTY:letter,0.1178
LOC:other," Where is the Savannah River ?
 /******/ ,",ABBR:exp,0.1121
LOC:other, What are some tourist attractions in New York ?,LOC:other,0.3212
LOC:other, Where are the different elements on the periodic table found ?,ENTY:substance,0.3674
LOC:other, Where can I find the list of all Nobel Prize winners ?,HUM:gr,0.1093
LOC:other, What is the most polluted city in North America ?,LOC:city,0.6048
LOC:other, Where can I get a complete list of chemical elements ?,ENTY:substance,0.0813
LOC:other," What is the capital of Zambia ?
ipage",DESC:desc,0.3253
LOC:other, Where can one get a map of the moon ?,LOC:other,0.3001
LOC:other, Where can I find the history of Rutland ?,DESC:desc,0.3649
LOC:other," Where is Bermuda located ?
 Caption : Other",LOC:other,0.8914
LOC:other," Where is the Savannah River ?
 //!Savanna ,River",LOC:other,0.6983
LOC:other," What is the highest continent ?
 Caption : 1",LOC:other,0.1455
LOC:other," What is the oldest river in Europe ? .
 Caption",LOC:other,0.2323
LOC:other, Where can I get some free technical information on HUMMER vehicles ?,ENTY:product,0.1566
LOC:other," Where was George Washington born ?
 CHAPTER 2",HUM:ind,0.3135
LOC:other, What country does the Amazon River flow through ? .,ENTY:other,0.1824
LOC:other, Where was the first U .S . state constitution written ?,ENTY:letter,0.265
LOC:other, Where is the best place to take a date in NYC ?,ENTY:termeq,0.1568
LOC:other," Where is the Savannah River ? , and what are some of its tributaries .",LOC:other,0.5104
LOC:other," What is the highest peak in Africa ? .
 Caption : answer",DESC:def,0.174
LOC:other," Where can one get a list of all the embassies in Washington , D .C ?",LOC:other,0.1554
LOC:other," Where is the Savannah River ? , 12 May 08",LOC:other,0.7434
LOC:other," What is the highest peak in Africa ?
 #!/bin/sh -x",NUM:other,0.3737
LOC:other," Where is the Sahara Desert ?
 Updated Dec 18 , 2017",LOC:other,0.3056
LOC:other, Where can I find information on the 1985 California wildfires ?,LOC:other,0.2125
LOC:other," Where is the Savannah River ?
 --(JohnBates) The South Carolina and Georgia coast .",LOC:other,0.7993
LOC:other, What are some places to take visitors in San Diego ?,LOC:other,0.5492
LOC:other," Where was Lourdes located ? ,
 Caption :",LOC:other,0.6836
LOC:other," Where was Lawrence , Herbert and Berton born ?",HUM:ind,0.1599
LOC:other, What was the highest elevation on land ? .,DESC:desc,0.1752
LOC:other," Where is Lourdes ? , where can I find information about it ?",LOC:other,0.572
LOC:other," Where was Larry King born ? , 17 .",HUM:ind,0.2189
LOC:other," What is the highest mountain in Africa ? , The city where Andy Griffith lives .",LOC:other,0.3972
LOC:other," Where is the Savannah River ?
 Posted on 12/6/98",LOC:other,0.9067
LOC:other," What is the capital of Congo ?
 Updated Jul 14, 2020",ENTY:other,0.1406
LOC:other," Where are the Union Stockyards ?
ipage , ipages",LOC:other,0.5129
LOC:other, What city is famous for its Stoughton Iron Works ?,HUM:gr,0.1655
LOC:other," Where was Abraham Lincoln born ?
TDM2014",LOC:other,0.2348
LOC:other," Where is the UCLA campus ? , and where are its various buildings located .",LOC:other,0.6951
LOC:other," Where is the Lourve ?
 Caption:Lounge , where can I get one .",LOC:other,0.5861
LOC:other," What are tourist attractions in Reims ?
 ---The cathedral and some wine cellars .",LOC:other,0.4713
LOC:other," Where is the Savannah River ?
СРОК :другое [СЕП] Разные местонахождение вопросы , которые не входят .",LOC:other,0.2918
LOC:other," Where was George of the Jungle raised ? The Correct answer is : In a jungle , where else .",LOC:other,0.3394
LOC:other," What are the main rivers in Europe ? , Where was George Washington born and where did he die ??",HUM:ind,0.1848
LOC:other," Where is the Savannah River ?
ipage/293 , Source : Internet",LOC:other,0.7388
LOC:other," What is the largest lake in Africa ?
GPLUS : 32%",ENTY:other,0.3946
LOC:other," What is the highest peak in Africa ?
odioch , May 25, 1997",DESC:desc,0.1996
LOC:other," Where was Joseph Smith buried ? , Where is the Eiffel Tower located in Paris France .",LOC:other,0.7241
LOC:other," What is the highest mountain in Japan ? .com , .net and .org domains were originally associated with commercial entities, nonprofit organizations and governmental institutions respectively",HUM:gr,0.2277
LOC:other," Where was Joseph Pulitzer born ? , In 1847 in Munkacs (now Mikova ), Hungary .",HUM:ind,0.194
LOC:other, Where is the best place for sailing ? The Nile or Amazon .,LOC:other,0.3899
LOC:other," Where did the ancient Romans get their concrete ?
 Updated Jun 18 , 2009",NUM:date,0.2258
LOC:other," What is the tallest building in Japan ?
 /******/ }else{var j=i;for(j;if(f[jet])",NUM:code,0.2074
LOC:other, What is the highest mountain in Europe ? . `Asked by Herman Glover,ENTY:other,0.1861
LOC:other," Where is the Savannah River ? , What county covers 461 square miles in upstate New York and contains Lake Ontario 's western shore",LOC:other,0.6673
