label,text,predicted_label,probability
NUM:date," What day of the week is July 7 , 1998 ?",NUM:date,0.9989
NUM:date," In what year did the Dow first reach ? 1 , .",NUM:date,0.9988
NUM:date," When did the Vietnam War start ? and when was it stopped , what year etc",NUM:date,0.9984
NUM:date," When did the Dow first reach 4 ,000 ?",NUM:date,0.998
NUM:date," When did the Dow first reach 1 ,000 ?",NUM:date,0.9979
NUM:date, What year did the Dow first reach 1000 ?,NUM:date,0.9975
NUM:date, When did the Dow first reach 1000 ?,NUM:date,0.9972
NUM:date, When did the Dow first reach 100 ? .,NUM:date,0.9965
NUM:date, What year did the Berlin Wall go up ? and when was it torn down .,NUM:date,0.9964
NUM:date," In what year did the Dow first reach 1 ,000 points ?",NUM:date,0.9964
ENTY:instru, What instrument does Benny Carter played ? The clarinet .,ENTY:instru,0.9153
ENTY:instru, What type of guitar did Jimi Hendrix plays ?,ENTY:instru,0.907
ENTY:instru, What kind of guitar does Jimi Hendrix plays ?,ENTY:instru,0.9023
ENTY:instru, Which instrument does Benny Carter plays ? 45-7,ENTY:instru,0.8918
ENTY:instru, What kind of guitar does Jimi Hendrix Play ?,ENTY:instru,0.8864
ENTY:instru, What instrument does Benny Carter perform ? ________________,ENTY:instru,0.874
ENTY:instru, What kind of guitar did Jimi Hendrix plays ?,ENTY:instru,0.8689
ENTY:instru," What instrument does Benny Carter perform on ? On what type of guitar did J.S.Bach compose Suite for Lute in G minor , BWV 996",ENTY:instru,0.8545
ENTY:instru, What kind of guitar did Jimi Hendrix play ?,ENTY:instru,0.8449
ENTY:instru, Which instrument does Benny Carter play ? ___ Trumpet,ENTY:instru,0.8223
ENTY:other, What is the largest card in a Tarot deck ?,ENTY:other,0.9813
ENTY:other, What did they use as a toilet in the 16th century ?,ENTY:other,0.9758
ENTY:other, What kind of weapon was Shergill 's spear called ?,ENTY:other,0.9728
ENTY:other, What is the most powerful card in Euchre ?,ENTY:other,0.9693
ENTY:other, What is the rarest birthstone ? and what month does it belong to,ENTY:other,0.9606
ENTY:other, What 's the second lightest metal ? and what is it used for ?,ENTY:other,0.9264
ENTY:other, What is the most expensive drug in America ? ,ENTY:other,0.9252
ENTY:other, What is the rarest coin ? and how much does it sell for in perfect condition .,ENTY:other,0.9147
ENTY:other, What is the largest type of tree ? DS SPL,ENTY:other,0.9072
ENTY:other, What did the last czar of Russia own ?,ENTY:other,0.9008
LOC:other, What 's the largest lake in Asia ? and where is it located,LOC:other,0.9985
LOC:other, Where is the San Andreas Fault ? The fault runs from Santa Barbara to Cape Mendocino .,LOC:other,0.9925
LOC:other, Where is the Andromeda Galaxy ? ﻿﻿,LOC:other,0.9905
LOC:other," Where is the Danube ? , The Nile and",LOC:other,0.9896
LOC:other," Where is Lake Champlain ? and what state or province does it belong to , the USA Or Canada",LOC:other,0.9878
LOC:other, Where is the world 's largest library ? .,LOC:other,0.9833
LOC:other, What lake are these islands found in ? The Canary Islands,LOC:other,0.9822
LOC:other, What constellation contains the twin pit of hell ? and where is it located in space .,LOC:other,0.973
LOC:other," Where is the San Remo Palace Hotel ? ,",LOC:other,0.9643
LOC:other," Where is the deepest pool in Florida ? , USA",LOC:other,0.9602
DESC:reason, Why do I see things when my eyes are closed ?,DESC:reason,0.9987
DESC:reason, Why do I need to breathe ? What is www.google.com used for,DESC:reason,0.9919
DESC:reason, Why do magnets attract ? and repel other magnetics ?,DESC:reason,0.9911
DESC:reason, What causes lung cancer ? Why are some people color blind ?,DESC:reason,0.9903
DESC:reason, Why can 't I see www answers.com ?,DESC:reason,0.9853
DESC:reason, What is Jane Goodall famous for ? and Why did she get that distinction,DESC:reason,0.9827
DESC:reason," What 's so funny ? Why did people stop believing in King Arthur and knights , etc .",DESC:reason,0.9819
DESC:reason, Why was Mr Spock upset after Nero damaged Vulcan ?,DESC:reason,0.9797
DESC:reason, Why is George W . Bush so silent ? What 's he afraid of telling us,DESC:reason,0.9786
DESC:reason, Why are there so many people who hate George W.Bush ?,DESC:reason,0.9762
ENTY:food, What non-alcoholic syrup is made from pomegranate juice ?,ENTY:food,0.9969
ENTY:food, What was the first canned soup ? The Chicken Noodle Soup .,ENTY:food,0.9963
ENTY:food," What soft drink is most heavily caffeinated ? ,",ENTY:food,0.9949
ENTY:food, What non-alcoholic drink is most frequently associated with bartenders ?,ENTY:food,0.9931
ENTY:food, What 's the best non-alcoholic beverage for kids to drink at restaurants ?,ENTY:food,0.9921
ENTY:food, What is the most heavily caffeinated soft drink ?,ENTY:food,0.9919
ENTY:food, What 's the most heavily caffeinated soft drink ?,ENTY:food,0.9907
ENTY:food, What is the best-tasting diet soft drink ?,ENTY:food,0.99
