label,text,predicted_label,probability
meal,what meals does delta serve between denver to milwaukee,meal,0.407
meal,what meals will i get from philadelphia to dallas if flying first class with american airline tomorrow night,meal,0.407
meal,what meals can i request when flying from san francisco to atlanta with continental airlines,meal,0.4068
meal,what meals can i expect to have when flying coach from boston to atlanta tomorrow morning with american airline please,meal,0.4063
meal,what meals does delta serve between boston to washington dc at noon today,meal,0.4041
meal,what meals can i expect to have when flying from san francisco to dallas with american airline first class,meal,0.4038
meal,what meals do you get when flying from pittsburgh to dallas for american airline's first class nonstop flight 7343 that leaves at noon today before one pm arrive in dfw tomorrow afternoon after six o'clock PM please thank you very much indeed just want some cheese pizza dinner tonight so kindly give me what i need know now thankyouverymuchnowpleasegive it tomeaspecificallyijustwantedtoknoaboutamericanairlinesthanksyouagainforhelpingmeoutwith,meal,0.4031
meal,What meals will I receive flying from Boston to Chicago if my flight is between 12 noon and two pm ?,meal,0.4031
meal,what meals do you get when flying from newark to pittsburgh with continental Airlines first class,meal,0.4029
meal,what meals do united offer between dallas fort worth international airport to pittsburgh pennsylvania internacional flight 4548 arrived in chicago o hare at eight thirty pm eastern time tonight,meal,0.4029
aircraft,what kind of airplane is flight ua 111 from philadelphia to san francisco that leaves at five o'clock in the afternoon,aircraft,0.9366
aircraft,what type of plane is flight ua 124 from philadelphia to denver tomorrow afternoon,aircraft,0.9366
aircraft,what type of plane is flight aa 411 from dallas to philadelphia today tonight,aircraft,0.9365
aircraft,what type of airplane is united flight 211 from boston to dallas before noon tomorrow morning,aircraft,0.9364
aircraft,what type of plane is flight ua 811 from denver to san francisco,aircraft,0.9363
aircraft,what type of plane is flying from newark to detroit tonight that arrives before 10 pm with united Airlines,aircraft,0.9362
aircraft,what type of plane is flight 1075 from atlanta to pittsburgh leaving at seven thirty am tomorrow morning serviced by continental Airlines,aircraft,0.9362
aircraft,what kind of plane is flight aa 811 from philadelphia to boston tonight,aircraft,0.9362
aircraft,what kind of airplane is flight aa 808 from dallas to pittsburgh on friday afternoon July eighth at half past five PM leaving Dallas for Pittsburgh,aircraft,0.9361
aircraft,what type of plane is called us air flight 2317 from washington to denver arriving in st paul at seven twenty pm,aircraft,0.936
quantity,how many nonstop united Airlines fights leave denver to san francisco tomorrow morning with fares under 200 dollars each way,quantity,0.9355
quantity,how many united express flight go from denver to boston in one day before five pm tomorrow morning,quantity,0.9352
quantity,how many united flight connections does american have in dallas between 10am to noon tomorrow,quantity,0.9343
quantity,how many united flights leave pittsburgh to washington dc today,quantity,0.934
quantity,how many nonstop american air flight from philadelphia to pittsburgh today is there one with first class service also give me all other details please,quantity,0.9338
quantity,how many united flights stop in dallas fort worth today,quantity,0.9338
quantity,how many delta airline departures leave from boston in 1998 after noon at least one stop away to philadelphia before midnight,quantity,0.9337
quantity,how many delta airline nonstop fights go between atlanta georgia to philadelphia pennsylvania from july 24th through august seventh tomorrow afternoon please give me that information thank you so much,quantity,0.9336
